procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 6503556  54240 901052    0    0     0     0  471 3116  0  2 98  0  0 2021-12-09 08:16:43
 0  0      0 6503556  54240 901052    0    0     0     0  464 2921  2  2 97  0  0 2021-12-09 08:16:44
 1  0      0 6503556  54240 901052    0    0     0     0  494 3040  1  0 99  0  0 2021-12-09 08:16:45
 0  0      0 6502832  54240 901052    0    0     0   972  465 2770  1  1 83 15  0 2021-12-09 08:16:46
 0  0      0 6502832  54240 901060    0    0     0     4  467 2983  1  2 97  0  0 2021-12-09 08:16:47
 0  0      0 6502832  54240 901060    0    0     0     0  198 2702  5  0 95  0  0 2021-12-09 08:16:48
 0  0      0 6502832  54240 901060    0    0     0     0  190 2433  1  2 97  0  0 2021-12-09 08:16:49
 0  0      0 6502076  54240 901056    0    0     0     0  219 2421  1  2 98  0  0 2021-12-09 08:16:50
 0  0      0 6502076  54240 901056    0    0     0   184  192 2328  0  1 99  0  0 2021-12-09 08:16:51
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 6501036  54240 901056    0    0     0     0  200 2506  1  2 97  0  0 2021-12-09 08:16:52
 0  0      0 6501036  54240 901056    0    0     0     4  183 2883  1  1 98  0  0 2021-12-09 08:16:53
 0  0      0 6501036  54240 901056    0    0     0     0  125 2366  1  1 98  0  0 2021-12-09 08:16:54
 0  0      0 6501036  54240 901056    0    0     0     0  154 2420  2  2 97  0  0 2021-12-09 08:16:55
 3  0      0 6464816  54240 901064    0    0    16    24  292 3145 22  5 74  0  0 2021-12-09 08:16:56
 4  1      0 6440040  54424 902272    0    0   704  1960 1980 12290 24 15 36 25  0 2021-12-09 08:16:57
 0  0      0 6470560  54620 902664    0    0   280  1164  756 7119 25  5 61 10  0 2021-12-09 08:16:58
 0  0      0 6470544  54620 902728    0    0     0     4  254 2625  1  1 99  0  0 2021-12-09 08:16:59
 0  0      0 6470544  54620 902728    0    0     0     0  312 2756  1  1 98  0  0 2021-12-09 08:17:00
 0  0      0 6471560  54624 902728    0    0     4     8  252 2720  1  1 98  0  0 2021-12-09 08:17:01
 0  0      0 6471560  54624 902732    0    0     0     0  145 2174  1  1 98  0  0 2021-12-09 08:17:02
 0  0      0 6471560  54624 902732    0    0     0     0  176 2525  1  1 98  0  0 2021-12-09 08:17:03
 0  0      0 6471560  54624 902732    0    0     0     0  165 2529  1  0 99  0  0 2021-12-09 08:17:04
 0  0      0 6471560  54624 902732    0    0     0     4  236 2514  1  0 99  0  0 2021-12-09 08:17:05
 0  0      0 6471560  54624 902732    0    0     0     0  119 2205  1  1 98  0  0 2021-12-09 08:17:06
 0  0      0 6471560  54624 902732    0    0     0     0  150 2447  1  0 99  0  0 2021-12-09 08:17:07
 1  0      0 6464668  54728 902812    0    0     0   524  992 7899 39  3 52  6  0 2021-12-09 08:17:08
 1  0      0 6460512  54972 903040    0    0   104   984 1258 9923 39  8 46  7  0 2021-12-09 08:17:09
 1  1      0 6440160  55024 903224    0    0     0  1912  446 4346 20  4 37 40  0 2021-12-09 08:17:10
 3  1      0 6412644  55232 905804    0    0   796  1672 1933 12220 27 15 38 20  0 2021-12-09 08:17:11
 7  0      0 6380476  55468 906132    0    0     0  2588  501 8616 37 19  5 40  0 2021-12-09 08:17:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 8  0      0 6340716  55576 906796    0    0   128   756 2861 22954 65 27  7  2  0 2021-12-09 08:17:13
11  1      0 6321280  55940 908476    0    0   568  1892 5509 36291 64 24  5  7  0 2021-12-09 08:17:14
 0  0      0 6316644  56340 909804    0    0    80  1688 8677 32192 37 20 29 13  0 2021-12-09 08:17:15
 0  0      0 6316392  56340 909804    0    0     0     0  578 4198  1  1 98  0  0 2021-12-09 08:17:16
 0  0      0 6316424  56340 909796    0    0     0     4  674 4536  1  2 97  0  0 2021-12-09 08:17:17
 4  1      0 6304688  56764 910200    0    0     0  1672 2792 15930 30  7 46 16  0 2021-12-09 08:17:18
 0  0      0 6300568  57116 910840    0    0     0  1876 1491 13231 31  8 53  7  0 2021-12-09 08:17:19
 0  0      0 6295464  57148 910884    0    0     0   100 1546 7411  7  3 88  3  0 2021-12-09 08:17:20
 0  0      0 6295464  57148 910884    0    0     0     0  687 4889  2  1 97  0  0 2021-12-09 08:17:21
 0  0      0 6295464  57148 910884    0    0     0     0  343 3504  1  1 98  0  0 2021-12-09 08:17:22
