Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

13:51:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:51:46        all      4.59      0.00      2.55      0.00      0.00     92.86
13:51:47        all      4.52      0.00      4.52      0.00      0.00     90.95
13:51:48        all      1.52      0.00      2.54      1.02      0.00     94.92
13:51:49        all      3.59      0.00      2.56      0.00      0.00     93.85
13:51:50        all      3.55      0.00      2.54      0.00      0.00     93.91
13:51:51        all     53.27      0.00      5.53      0.00      0.00     41.21
13:51:52        all     61.42      0.00      6.60      0.00      0.00     31.98
13:51:53        all      6.19      0.00      2.58      0.00      0.00     91.24
13:51:54        all      7.73      0.00      4.64      3.61      0.00     84.02
13:51:55        all     11.62      0.00      6.06      2.02      0.00     80.30
13:51:56        all      3.57      0.00      3.57      0.00      0.00     92.86
13:51:57        all     13.71      0.00      6.09      4.57      0.00     75.63
13:51:58        all      3.59      0.00      2.05      0.00      0.00     94.36
13:51:59        all     14.51      0.00      4.66      8.81      0.00     72.02
13:52:00        all      2.58      0.00      2.58      0.52      0.00     94.33
13:52:01        all      6.00      0.00      3.00      1.00      0.00     90.00
13:52:02        all     11.34      0.00      5.67      4.64      0.00     78.35
13:52:03        all      5.67      0.00      2.06      0.00      0.00     92.27
13:52:04        all     15.98      0.00      6.70      4.64      0.00     72.68
13:52:05        all      5.97      0.00      3.98      0.00      0.00     90.05
13:52:06        all     15.08      0.00      5.53      5.03      0.00     74.37
13:52:07        all      3.57      0.00      3.57      0.00      0.00     92.86
13:52:08        all      2.51      0.00      2.01      0.00      0.00     95.48
13:52:09        all     13.57      0.00      5.03      4.02      0.00     77.39
13:52:10        all      5.53      0.00      1.51      0.00      0.00     92.96
13:52:11        all     18.00      0.00      6.50      4.00      0.00     71.50
13:52:12        all      7.22      0.00      2.58      0.00      0.00     90.21
13:52:13        all      8.46      0.00      3.98      3.48      0.00     84.08
13:52:14        all     14.50      0.00      6.50      4.00      0.00     75.00
13:52:15        all      4.10      0.00      1.54      0.00      0.00     94.36
13:52:16        all     13.33      0.00      3.59      6.67      0.00     76.41
13:52:17        all      4.48      0.00      2.99      0.00      0.00     92.54
13:52:18        all     11.28      0.00      4.10      4.62      0.00     80.00
13:52:19        all      3.92      0.00      4.90      0.00      0.00     91.18
13:52:20        all      2.02      0.00      2.53      0.00      0.00     95.45
13:52:21        all     14.14      0.00      6.57      4.55      0.00     74.75
13:52:22        all      6.06      0.00      2.53      0.00      0.00     91.41
13:52:23        all     10.71      0.00      6.12      4.59      0.00     78.57
13:52:24        all      2.04      0.00      3.06      0.00      0.00     94.90
13:52:25        all     11.50      0.00      6.00      4.50      0.00     78.00
13:52:26        all      6.47      0.00      2.49      0.00      0.00     91.04
13:52:27        all      4.52      0.00      1.51      0.00      0.00     93.97
13:52:28        all     11.56      0.00      8.54      3.52      0.00     76.38
13:52:29        all      4.00      0.00      3.00      0.00      0.00     93.00
13:52:30        all     13.50      0.00     10.00      3.00      0.00     73.50
13:52:31        all      5.58      0.00      2.54      0.00      0.00     91.88
13:52:32        all      8.81      0.00      2.59      4.15      0.00     84.46
13:52:33        all      9.95      0.00      3.48      1.00      0.00     85.57
13:52:34        all      4.00      0.00      3.50      0.00      0.00     92.50
13:52:35        all     11.22      0.00      4.59      5.10      0.00     79.08
13:52:36        all      3.52      0.00      3.02      0.00      0.00     93.47
13:52:37        all     12.69      0.00      4.57      3.55      0.00     79.19
13:52:38        all      4.02      0.00      2.51      0.00      0.00     93.47
