Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

12:56:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:57:42        all     13.33      0.00      6.67      4.62      0.00     75.38
12:57:43        all      5.50      0.00      4.00      0.00      0.00     90.50
12:57:44        all      4.43      0.00      3.45      0.00      0.00     92.12
12:57:45        all     12.63      0.00      4.55      4.55      0.00     78.28
12:57:46        all      5.45      0.00      3.47      0.00      0.00     91.09
12:57:47        all     12.56      0.00      5.53      5.53      0.00     76.38
12:57:48        all      3.03      0.00      2.53      0.00      0.00     94.44
12:57:49        all      3.45      0.00      3.45      0.99      0.00     92.12
12:57:50        all     17.17      0.00      4.55      4.55      0.00     73.74
12:57:51        all      3.11      0.00      1.04      0.00      0.00     95.85
12:57:52        all     14.29      0.00      7.14      5.61      0.00     72.96
12:57:53        all      5.53      0.00      2.01      0.00      0.00     92.46
12:57:54        all      8.16      0.00      4.08      2.04      0.00     85.71
12:57:55        all     11.44      0.00      5.47      1.49      0.00     81.59
12:57:56        all      2.50      0.00      3.50      0.00      0.00     94.00
12:57:57        all     16.67      0.00      6.06      5.56      0.00     71.72
12:57:58        all      9.50      0.00      3.50      0.00      0.00     87.00
12:57:59        all      9.64      0.00      4.57      4.57      0.00     81.22
12:58:00        all      5.61      0.00      2.55      0.00      0.00     91.84
12:58:01        all      4.52      0.00      3.52      0.00      0.00     91.96
12:58:02        all     16.84      0.00      5.10      4.08      0.00     73.98
12:58:03        all      5.05      0.00      3.03      0.00      0.00     91.92
12:58:04        all     12.63      0.00      5.05      3.03      0.00     79.29
12:58:05        all      6.00      0.00      3.50      0.00      0.00     90.50
12:58:06        all      7.46      0.00      5.97      8.46      0.00     78.11
12:58:07        all     14.65      0.00      8.08      6.06      0.00     71.21
12:58:08        all      4.50      0.00      3.00      0.00      0.00     92.50
12:58:09        all     22.28      0.00      8.29      4.66      0.00     64.77
12:58:10        all      5.47      0.00      3.48      0.00      0.00     91.04
12:58:11        all      2.55      0.00      1.53      0.51      0.00     95.41
12:58:12        all     15.69      0.00      7.84      4.90      0.00     71.57
12:58:13        all      3.57      0.00      2.55      0.00      0.00     93.88
12:58:14        all     16.24      0.00      5.58      3.55      0.00     74.62
12:58:15        all      3.54      0.00      1.01      0.00      0.00     95.45
12:58:16        all      6.06      0.00      3.54      4.55      0.00     85.86
12:58:17        all      9.50      0.00      6.50     21.00      0.00     63.00
