procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 4759396 129732 1554880    0    0    31    82  348  663  5  3 91  1  0 2021-12-09 13:31:55
 0  0      0 4759640 129732 1554892    0    0     0     4  579 4603  3  2 95  0  0 2021-12-09 13:31:56
 1  0      0 4736596 129732 1554892    0    0     0   876  987 10513 17  6 72  5  0 2021-12-09 13:31:57
 0  0      0 4736596 129732 1555064    0    0     0     0  891 5953  5  2 94  0  0 2021-12-09 13:31:58
 1  1      0 4736824 129732 1555068    0    0     0    52  902 5590  4  1 95  1  0 2021-12-09 13:31:59
 0  0      0 4734304 129732 1555236    0    0     0   796 1638 11548 13  6 77  5  0 2021-12-09 13:32:00
 0  0      0 4734556 129732 1555236    0    0     0     0 1177 8152  7  2 91  0  0 2021-12-09 13:32:01
 0  0      0 4735564 129732 1555412    0    0     0   812 2053 14087 15  6 75  5  0 2021-12-09 13:32:02
 4  0      0 4736060 129732 1555416    0    0     0     0 1085 7167  4  2 94  0  0 2021-12-09 13:32:03
 1  0      0 4732792 129732 1555572    0    0     0   764 1206 11334 11  4 80  5  0 2021-12-09 13:32:04
 0  0      0 4732792 129732 1555572    0    0     0     0  983 6967  6  4 90  0  0 2021-12-09 13:32:05
 0  0      0 4734808 129732 1555576    0    0     0     0  714 6004  5  2 93  0  0 2021-12-09 13:32:06
 0  0      0 4730524 129732 1555748    0    0     0   788 1533 10976 13  6 77  5  0 2021-12-09 13:32:07
 4  0      0 4730516 129732 1555748    0    0     0     4  653 5281  3  2 95  0  0 2021-12-09 13:32:08
 0  0      0 4731272 129732 1555760    0    0     0   820 1210 9699 12  5 78  5  0 2021-12-09 13:32:09
 0  0      0 4731776 129732 1555924    0    0     0     0  786 5898  5  2 93  0  0 2021-12-09 13:32:10
 8  0      0 4734296 129732 1555948    0    0     0   440 1192 8343  4  4 89  4  0 2021-12-09 13:32:11
 1  0      0 4732280 129732 1556100    0    0     0   364  935 7282 11  4 85  1  0 2021-12-09 13:32:12
 1  0      0 4732280 129732 1556100    0    0     0     0  827 6836  3  3 94  0  0 2021-12-09 13:32:13
 1  0      0 4726484 129736 1556276    0    0     0   816 1360 10115 13  6 78  4  0 2021-12-09 13:32:14
 0  0      0 4726988 129736 1556280    0    0     0     0  622 5072  2  2 96  0  0 2021-12-09 13:32:15
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 4725476 129736 1556412    0    0     0   800 1531 11409 15  7 73  6  0 2021-12-09 13:32:16
 1  0      0 4725224 129736 1556444    0    0     0     0  979 6726  7  4 90  0  0 2021-12-09 13:32:17
 2  1      0 4726484 129736 1556452    0    0     0   152  731 6303  5  3 91  1  0 2021-12-09 13:32:18
 0  0      0 4724184 129740 1556612    0    0     0   656 1306 10019 12  5 80  4  0 2021-12-09 13:32:19
 0  0      0 4731272 129740 1556612    0    0     0     4  769 5999  4  3 94  0  0 2021-12-09 13:32:20
 5  0      0 4728500 129740 1557016    0    0     0  1056 7183 39852 42 16 36  5  0 2021-12-09 13:32:21
