procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5106760 121220 1316044    0    0    59   100  397  752  6  3 90  1  0 2021-12-09 10:35:23
 0  0      0 5106248 121220 1316048    0    0     0     0  484 4749  3  1 96  0  0 2021-12-09 10:35:24
 0  0      0 5105476 121220 1316052    0    0     0     0  589 4927  5  3 93  0  0 2021-12-09 10:35:25
 0  0      0 5105476 121220 1316052    0    0     0    36  604 5024  5  2 93  0  0 2021-12-09 10:35:26
 3  0      0 5104440 121220 1316052    0    0     0     0  662 5005  2  2 96  0  0 2021-12-09 10:35:27
 6  0      0 5088512 121220 1316052    0    0     0     0  998 7456  8  5 87  0  0 2021-12-09 10:35:28
 1  0      0 5088512 121220 1316052    0    0     0     4  472 4501  6  2 92  0  0 2021-12-09 10:35:29
 3  0      0 5034260 121220 1316060    0    0     0     0  629 7242 65 11 24  0  0 2021-12-09 10:35:30
 0  0      0 5013816 121220 1316064    0    0     0     0  725 7605 43  7 51  0  0 2021-12-09 10:35:31
 2  0      0 5012556 121220 1316064    0    0     0     0  631 5097  5  2 94  0  0 2021-12-09 10:35:32
 0  0      0 5011548 121256 1316100    0    0     0   752 1353 11302 13  4 78  5  0 2021-12-09 10:35:33
 0  0      0 5010044 121256 1316180    0    0     0     0  886 6693  6  3 92  0  0 2021-12-09 10:35:34
 0  0      0 5010044 121256 1316184    0    0     0     4  856 6248  3  3 94  0  0 2021-12-09 10:35:35
 0  0      0 5009776 121272 1316240    0    0     0   984 1450 11853 15  6 77  3  0 2021-12-09 10:35:36
 0  0      0 5010068 121272 1316320    0    0     0     0  732 5567  2  2 96  0  0 2021-12-09 10:35:37
 0  0      0 5009564 121304 1316288    0    0     0   756 1406 9665 12  5 75  9  0 2021-12-09 10:35:38
 0  0      0 5009060 121304 1316436    0    0     0     0  736 6372  9  2 89  0  0 2021-12-09 10:35:39
 0  0      0 5008052 121304 1316436    0    0     0     0  882 6182  6  3 91  0  0 2021-12-09 10:35:40
 0  0      0 5007532 121312 1316500    0    0     0   748 1305 11807 13  7 74  5  0 2021-12-09 10:35:41
 0  0      0 5008016 121312 1316556    0    0     0     0  825 5837  4  3 93  0  0 2021-12-09 10:35:42
 0  0      0 5007296 121352 1316648    0    0     0   752 1402 10601 11  4 79  6  0 2021-12-09 10:35:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 5006532 121352 1316672    0    0     0     0  668 5375  6  1 93  0  0 2021-12-09 10:35:44
 0  0      0 5006304 121352 1316672    0    0     0     0  886 6427  4  3 94  0  0 2021-12-09 10:35:45
 0  0      0 5006028 121384 1316700    0    0     0   764 1725 11799 12  5 80  4  0 2021-12-09 10:35:46
 0  0      0 5005540 121384 1316804    0    0     0     4  909 5696  3  2 95  0  0 2021-12-09 10:35:47
 0  0      0 5002224 121416 1316812    0    0     0   728 1463 10174 10  6 79  5  0 2021-12-09 10:35:48
 0  0      0 5001720 121416 1316920    0    0     0     0  764 5857  6  3 91  0  0 2021-12-09 10:35:49
 1  0      0 5001720 121416 1316920    0    0     0     0  766 6311  5  3 92  0  0 2021-12-09 10:35:50
 0  0      0 5001720 121428 1317044    0    0     0   692 1428 11417 12  5 79  5  0 2021-12-09 10:35:51
 0  0      0 5001720 121428 1317044    0    0     0     0  989 7332  6  3 92  0  0 2021-12-09 10:35:52
 0  0      0 5001720 121448 1317172    0    0     0   752  985 9786 10  5 80  5  0 2021-12-09 10:35:53
 0  0      0 5001704 121448 1317172    0    0     0     0  792 6104  5  4 92  0  0 2021-12-09 10:35:54
 0  0      0 5001728 121448 1317172    0    0     0     0  675 5248  3  1 96  0  0 2021-12-09 10:35:55
 0  0      0 5001248 121496 1317408    0    0     0  1828 1742 13783 16  4 68 12  0 2021-12-09 10:35:56
 2  0      0 5000208 121496 1317488    0    0     0    28  709 5250  2  1 97  0  0 2021-12-09 10:35:57
 5  0      0 4999688 121524 1317460    0    0     0   752 1420 11570 14  4 77  6  0 2021-12-09 10:35:58
 9  0      0 5000440 121524 1317632    0    0     0     4 1189 8640  8  5 87  0  0 2021-12-09 10:35:59
 0  0      0 5000216 121524 1317632    0    0     0     0  631 5082  5  2 93  0  0 2021-12-09 10:36:00
 0  0      0 5000208 121540 1317744    0    0     0   760 1258 9487 13  5 76  6  0 2021-12-09 10:36:01
 1  0      0 5000208 121540 1317744    0    0     0    84  828 6294  4  2 95  0  0 2021-12-09 10:36:02
 2  0      0 4999452 121552 1317864    0    0     0   784 1583 10556 10  5 74 12  0 2021-12-09 10:36:03
 0  0      0 4999208 121552 1317864    0    0     0     0  524 4891  5  2 93  0  0 2021-12-09 10:36:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 4998444 121552 1317864    0    0     0     4  657 5634  2  3 95  0  0 2021-12-09 10:36:05
 1  0      0 4999172 121560 1317948    0    0     0   772 1518 12545 15  7 74  4  0 2021-12-09 10:36:06
 0  0      0 4999200 121560 1317988    0    0     0   332  959 6353  4  2 95  0  0 2021-12-09 10:36:07
 3  0      0 4998948 121592 1317956    0    0     0   776 1070 8551 10  4 80  7  0 2021-12-09 10:36:08
 0  0      0 4998444 121592 1318116    0    0     0     0  785 6735  6  3 91  0  0 2021-12-09 10:36:09
 0  0      0 4998192 121592 1318116    0    0     0     0  850 5915  7  3 89  0  0 2021-12-09 10:36:10
 0  0      0 4997184 121620 1318088    0    0     0   744 1183 9938 15  7 73  5  0 2021-12-09 10:36:11
 0  0      0 4996428 121620 1318248    0    0     0     0  671 5369  4  3 93  0  0 2021-12-09 10:36:12
 0  0      0 4995680 121636 1318232    0    0     0   748 1598 12141 13 10 73  5  0 2021-12-09 10:36:13
 0  0      0 4997184 121636 1318360    0    0     0     0  929 7651  8  4 88  0  0 2021-12-09 10:36:14
 0  0      0 4997920 121636 1318360    0    0     0     0  831 5704  3  2 95  0  0 2021-12-09 10:36:15
 0  0      0 4997184 121660 1318488    0    0     0   696 1164 9509 11  2 83  4  0 2021-12-09 10:36:16
 0  0      0 4997184 121660 1318488    0    0     0     4  716 5511  5  3 93  0  0 2021-12-09 10:36:17
 1  0      0 4995412 121676 1318628    0    0     0   824 1551 11139 12  5 80  4  0 2021-12-09 10:36:18
 0  0      0 4995412 121676 1318628    0    0     0     0  791 5683  6  2 92  0  0 2021-12-09 10:36:19
 0  0      0 4995160 121676 1318632    0    0     0     0  639 5055  3  2 95  0  0 2021-12-09 10:36:20
 0  0      0 4992640 121708 1318748    0    0     0   696 1421 9951 13  3 79  5  0 2021-12-09 10:36:21
 0  0      0 4993336 121708 1318748    0    0     0     0 1031 7175  4  5 92  0  0 2021-12-09 10:36:22
 1  0      0 4995160 121724 1318876    0    0     0   744 1536 11503 13  5 78  4  0 2021-12-09 10:36:23
 0  0      0 4995160 121724 1318876    0    0     0     4  910 5646  4  1 95  0  0 2021-12-09 10:36:24
 4  1      0 4994656 121728 1318900    0    0     0   360 1138 8055  5  3 90  3  0 2021-12-09 10:36:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 4995412 121736 1319000    0    0     0   396 1436 9840 12  5 82  2  0 2021-12-09 10:36:26
 2  0      0 4995392 121736 1319000    0    0     0     0  614 5074  3  2 95  0  0 2021-12-09 10:36:27
 1  0      0 4994152 121752 1319132    0    0     0   800 1229 11165 14  5 76  6  0 2021-12-09 10:36:28
 1  0      0 4994616 121752 1319132    0    0     0     0  892 5943  6  1 93  0  0 2021-12-09 10:36:29
 1  1      0 4995412 121752 1319152    0    0     0   272 1242 8929  6  6 85  4  0 2021-12-09 10:36:30
 0  0      0 4995660 121764 1319180    0    0     0   572 1301 10090 13  7 78  3  0 2021-12-09 10:36:31
 0  0      0 4995904 121764 1319252    0    0     0     0 1215 7810  4  2 94  0  0 2021-12-09 10:36:32
 0  0      0 4997588 121788 1316276    0    0     0   740 1286 9781 12  5 80  5  0 2021-12-09 10:36:33
 0  0      0 4997696 121788 1316244    0    0     0     0  807 5528  5  3 92  0  0 2021-12-09 10:36:34
 0  1      0 4997912 121788 1316260    0    0     0   200  985 7657  5  3 88  4  0 2021-12-09 10:36:35
 0  0      0 4998436 121828 1316364    0    0     0   656 1617 9985 11  4 82  3  0 2021-12-09 10:36:36
 1  0      0 4998436 121828 1316364    0    0     0     0  947 5742  3  3 95  0  0 2021-12-09 10:36:37
 0  0      0 4997948 121840 1316448    0    0     0   824 1782 11637 13  5 78  5  0 2021-12-09 10:36:38
 0  0      0 4998184 121840 1316484    0    0     0     0 1033 6934  7  3 91  0  0 2021-12-09 10:36:39
 7  1      0 4997680 121860 1316516    0    0     0   520 1416 9847 10  5 82  4  0 2021-12-09 10:36:40
 0  0      0 4997656 121868 1316608    0    0     0   208 1125 8488  8  4 88  1  0 2021-12-09 10:36:41
 0  0      0 4998184 121868 1316616    0    0     0     4  854 5969  3  3 94  0  0 2021-12-09 10:36:42
 0  0      0 4998184 121908 1316576    0    0     0  1120 1457 10169 12  4 79  6  0 2021-12-09 10:36:43
 0  0      0 4998436 121908 1316740    0    0     0     0  794 6175  3  4 94  0  0 2021-12-09 10:36:44
 0  1      0 4999444 121924 1316868    0    0     0   800 1251 10385  9  4 80  7  0 2021-12-09 10:36:45
 0  0      0 4999444 121928 1316868    0    0     0    24 1010 6827  7  3 89  0  0 2021-12-09 10:36:46
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0 4999444 121928 1316868    0    0     0     0  754 5894  2  1 97  0  0 2021-12-09 10:36:47
 0  0      0 4999192 121952 1316980    0    0     0   760 1487 10114 11  5 80  5  0 2021-12-09 10:36:48
 0  0      0 4998940 121952 1316980    0    0     0     0  820 5299  5  3 93  0  0 2021-12-09 10:36:49
 0  0      0 4998436 121988 1317064    0    0     0   704 1722 11906 11  5 79  5  0 2021-12-09 10:36:50
 0  0      0 4998436 121988 1317120    0    0     0     0  814 6369  7  3 91  0  0 2021-12-09 10:36:51
 0  0      0 4998184 121988 1317120    0    0     0     0 1001 6662  5  3 92  0  0 2021-12-09 10:36:52
 0  0      0 4998672 122024 1317136    0    0     0   800 1616 11063 13  4 79  5  0 2021-12-09 10:36:53
 0  0      0 4998680 122024 1317236    0    0     0     4  753 6352  6  2 92  0  0 2021-12-09 10:36:54
 0  0      0 4998184 122048 1317304    0    0     0   740 1378 10240 14  3 78  4  0 2021-12-09 10:36:55
 0  0      0 4997940 122048 1317356    0    0     0     0  626 5611  5  4 91  0  0 2021-12-09 10:36:56
 0  0      0 4997876 122048 1317352    0    0     0     0  780 6188  5  5 90  0  0 2021-12-09 10:36:57
 0  0      0 4996672 122072 1317408    0    0     0   800 1501 12537 17  6 73  5  0 2021-12-09 10:36:58
 0  0      0 4996864 122072 1317476    0    0     0     0  808 6237  7  3 90  0  0 2021-12-09 10:36:59
 0  0      0 4997172 122104 1317516    0    0     0   800 1492 10265 11  5 80  5  0 2021-12-09 10:37:00
