Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

09:58:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:58:50        all      2.55      0.00      1.53      0.00      0.00     95.92
09:58:51        all      4.48      0.00      2.99      0.00      0.00     92.54
09:58:52        all      5.10      0.00      1.02      0.00      0.00     93.88
09:58:53        all      2.02      0.00      4.04      0.00      0.00     93.94
09:58:54        all     52.74      0.00      5.97      0.00      0.00     41.29
09:58:55        all     56.48      0.00      6.74      0.00      0.00     36.79
09:58:56        all      3.52      0.00      2.01      0.00      0.00     94.47
09:58:57        all      9.09      0.00      5.56      4.55      0.00     80.81
09:58:58        all      8.16      0.00      2.55      1.53      0.00     87.76
09:58:59        all      3.57      0.00      2.04      0.00      0.00     94.39
09:59:00        all     10.50      0.00      6.00      5.00      0.00     78.50
09:59:01        all      8.54      0.00      2.01      0.00      0.00     89.45
09:59:02        all     10.61      0.00      2.02      0.00      0.00     87.37
09:59:03        all     10.26      0.00      6.67      3.59      0.00     79.49
09:59:04        all      7.58      0.00      1.52      0.00      0.00     90.91
09:59:05        all      3.54      0.00      2.02      0.00      0.00     94.44
09:59:06        all      9.60      0.00      5.56      4.55      0.00     80.30
09:59:07        all     13.57      0.00      6.03      0.00      0.00     80.40
09:59:08        all     30.96      0.00     17.77      0.00      0.00     51.27
09:59:09        all     17.68      0.00      5.56      4.04      0.00     72.73
09:59:10        all      3.50      0.00      5.00      0.00      0.00     91.50
09:59:11        all      3.59      0.00      2.56      0.00      0.00     93.85
09:59:12        all     11.62      0.00      4.55      5.05      0.00     78.79
09:59:13        all      6.09      0.00      2.54      0.00      0.00     91.37
09:59:14        all     12.44      0.00      5.97      3.98      0.00     77.61
09:59:15        all      7.07      0.00      4.04      0.00      0.00     88.89
09:59:16        all      4.57      0.00      2.03      0.00      0.00     93.40
09:59:17        all     23.32      0.00      5.18      3.63      0.00     67.88
09:59:18        all      5.10      0.00      3.06      0.00      0.00     91.84
09:59:19        all      6.09      0.00      2.03      0.00      0.00     91.88
09:59:20        all     10.55      0.00      5.03      4.02      0.00     80.40
09:59:21        all      4.57      0.00      3.55      0.00      0.00     91.88
09:59:22        all      3.59      0.00      2.56      0.00      0.00     93.85
09:59:23        all     14.36      0.00      5.94      3.47      0.00     76.24
09:59:24        all      6.57      0.00      1.52      0.00      0.00     91.92
09:59:25        all      4.08      0.00      2.55      0.00      0.00     93.37
09:59:26        all      8.59      0.00      5.05      5.05      0.00     81.31
09:59:27        all      6.09      0.00      4.06      0.00      0.00     89.85
09:59:28        all      3.50      0.00      3.50      0.00      0.00     93.00
09:59:29        all     11.86      0.00      3.61      5.15      0.00     79.38
09:59:30        all      4.02      0.00      2.51      0.00      0.00     93.47
09:59:31        all      9.85      0.00      2.96      3.94      0.00     83.25
09:59:32        all      7.96      0.00      3.98      0.50      0.00     87.56
09:59:33        all      7.96      0.00      2.49      0.00      0.00     89.55
09:59:34        all     16.84      0.00      8.16      4.59      0.00     70.41
09:59:35        all      6.03      0.00      2.51      0.00      0.00     91.46
09:59:36        all      4.02      0.00      2.51      0.00      0.00     93.47
09:59:37        all     11.17      0.00      2.54     13.71      0.00     72.59
09:59:38        all      4.50      0.00      3.50      0.00      0.00     92.00
09:59:39        all      4.62      0.00      2.05      4.62      0.00     88.72
09:59:40        all     10.84      0.00      5.91      8.37      0.00     74.88
09:59:41        all      5.53      0.00      2.01      0.00      0.00     92.46
09:59:42        all      5.10      0.00      6.12      0.00      0.00     88.78
09:59:43        all     12.06      0.00      3.02      5.53      0.00     79.40
09:59:44        all      7.65      0.00      3.06      0.00      0.00     89.29
09:59:45        all      4.57      0.00      2.03      0.00      0.00     93.40
09:59:46        all      8.21      0.00      4.62      3.08      0.00     84.10
09:59:47        all      8.00      0.00      2.50      0.00      0.00     89.50
09:59:48        all      3.57      0.00      1.53      0.00      0.00     94.90
09:59:49        all     13.57      0.00      5.53      5.53      0.00     75.38
09:59:50        all      3.00      0.00      3.00      0.00      0.00     94.00
09:59:51        all      6.00      0.00      3.00      2.50      0.00     88.50
09:59:52        all     10.66      0.00      4.06      2.03      0.00     83.25
09:59:53        all      5.91      0.00      5.42      0.00      0.00     88.67
09:59:54        all     12.38      0.00      5.94      5.45      0.00     76.24
09:59:55        all      4.59      0.00      2.55      0.00      0.00     92.86
09:59:56        all      3.03      0.00      2.53      0.00      0.00     94.44
09:59:57        all     17.00      0.00      7.50      3.50      0.00     72.00
09:59:58        all      4.55      0.00      3.54      0.00      0.00     91.92
09:59:59        all      6.50      0.00      2.00      0.00      0.00     91.50
10:00:00        all     11.68      0.00      5.58      5.58      0.00     77.16
10:00:01        all      9.69      0.00      6.12      0.00      0.00     84.18
10:00:02        all      3.55      0.00      3.05      0.00      0.00     93.40
10:00:03        all      9.84      0.00      6.22      5.70      0.00     78.24
10:00:04        all      8.54      0.00      3.02      0.00      0.00     88.44
10:00:05        all      5.03      0.00      2.01      0.00      0.00     92.96
10:00:06        all     11.34      0.00      1.55     13.40      0.00     73.71
10:00:07        all      4.59      0.00      3.06      0.00      0.00     92.35
10:00:08        all      3.50      0.00      2.00      0.00      0.00     94.50
10:00:09        all     11.39      0.00      7.43      4.46      0.00     76.73
10:00:10        all      4.00      0.00      2.00      0.00      0.00     94.00
10:00:11        all      4.06      0.00      3.05      1.02      0.00     91.88
10:00:12        all     13.20      0.00      3.55      4.57      0.00     78.68
10:00:13        all      8.04      0.00      2.01      0.00      0.00     89.95
10:00:14        all      9.95      0.00      4.48      3.48      0.00     82.09
10:00:15        all      6.03      0.00      4.02      1.01      0.00     88.94
10:00:16        all      4.50      0.00      3.00      0.00      0.00     92.50
10:00:17        all     13.71      0.00      3.55      4.06      0.00     78.68
10:00:18        all      4.50      0.00      4.00      0.00      0.00     91.50
10:00:19        all      4.55      0.00      3.54      0.00      0.00     91.92
10:00:20        all     12.87      0.00      3.96      3.96      0.00     79.21
10:00:21        all      6.09      0.00      1.52      0.00      0.00     92.39
10:00:22        all      6.00      0.00      3.50      0.00      0.00     90.50
10:00:23        all     12.06      0.00      4.52      3.52      0.00     79.90
10:00:24        all      7.14      0.00      2.04      0.00      0.00     90.82
10:00:25        all      3.50      0.00      4.00      0.00      0.00     92.50
10:00:26        all     12.12      0.00      5.05      3.54      0.00     79.29
10:00:27        all      5.00      0.00      2.50      0.00      0.00     92.50
10:00:28        all      5.53      0.00      2.51      3.02      0.00     88.94
10:00:29        all     12.00      0.00      6.50      2.50      0.00     79.00
10:00:30        all      3.52      0.00      8.04      0.00      0.00     88.44
10:00:31        all     11.62      0.00      3.54      5.05      0.00     79.80
