procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 4783700 129848 1571804    0    0    30    87  358  855  5  3 91  1  0 2021-12-09 13:51:47
 0  0      0 4783196 129848 1571808    0    0     0    48  976 6845  2  3 94  1  0 2021-12-09 13:51:48
 0  0      0 4783196 129848 1571808    0    0     0     0  989 6976  3  3 94  0  0 2021-12-09 13:51:49
 0  0      0 4783196 129848 1571812    0    0     0     0  740 6081  4  3 93  0  0 2021-12-09 13:51:50
 3  0      0 4744128 129848 1571812    0    0     0     0  901 6868 39  5 57  0  0 2021-12-09 13:51:51
 3  0      0 4711052 129852 1571824    0    0     0     0  386 6376 72  6 21  0  0 2021-12-09 13:51:52
 1  0      0 4710296 129852 1571828    0    0     0     0 1340 10207 10  4 86  0  0 2021-12-09 13:51:53
 0  0      0 4709540 129852 1571828    0    0     0     4 1579 10039  4  3 93  0  0 2021-12-09 13:51:54
 1  0      0 4708784 129852 1572000    0    0     0   792 2205 16874 15  8 71  6  0 2021-12-09 13:51:55
 7  0      0 4708532 129852 1572000    0    0     0     0 1161 7892  4  4 93  0  0 2021-12-09 13:51:56
 0  0      0 4705488 129852 1572164    0    0     0   832 1561 12625 13  6 76  5  0 2021-12-09 13:51:57
 0  0      0 4707212 129852 1572168    0    0     0     0  817 6085  5  2 94  0  0 2021-12-09 13:51:58
17  1      0 4707524 129852 1572240    0    0     0   852 1205 9072  9  4 84  4  0 2021-12-09 13:51:59
 0  0      0 4707272 129852 1572580    0    0     0   964  957 8530  8  3 82  6  0 2021-12-09 13:52:00
 0  0      0 4705224 129852 1572580    0    0     0     0  706 6228  5  3 91  0  0 2021-12-09 13:52:01
 0  0      0 4700688 129852 1572764    0    0     0   924 1569 11438 12  6 76  6  0 2021-12-09 13:52:02
 0  0      0 4701192 129852 1572764    0    0     0     0 1516 10013  6  2 93  0  0 2021-12-09 13:52:03
 0  0      0 4696152 129852 1572932    0    0     0   776 1826 14992 16  7 73  4  0 2021-12-09 13:52:04
 0  0      0 4697664 129852 1572924    0    0     0     0  914 7399  6  4 90  0  0 2021-12-09 13:52:05
 2  1      0 4699388 129852 1572924    0    0     0   312  888 6991  5  3 89  3  0 2021-12-09 13:52:06
 0  0      0 4700436 129852 1573092    0    0     0   536 1410 9335 13  7 78  2  0 2021-12-09 13:52:07
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 4701192 129852 1573092    0    0     0     0  583 5002  3  2 95  0  0 2021-12-09 13:52:08
 1  0      0 4700688 129852 1573272    0    0     0   784 1362 10513 14  5 77  5  0 2021-12-09 13:52:09
 0  0      0 4700176 129852 1573272    0    0     0     0  763 5758  6  1 93  0  0 2021-12-09 13:52:10
 1  0      0 4698420 129852 1573432    0    0     0   760 1054 10234 15  7 74  4  0 2021-12-09 13:52:11
 1  0      0 4699640 129852 1573432    0    0     0     4 1129 7390 10  3 87  0  0 2021-12-09 13:52:12
 7  0      0 4699680 129852 1573432    0    0     0     0  532 4893  7  3 90  0  0 2021-12-09 13:52:13
 0  0      0 4697896 129852 1573604    0    0     0   792 1315 11548 16  7 70  7  0 2021-12-09 13:52:14
 0  0      0 4697916 129852 1573608    0    0     0     0  845 5500  3  2 96  0  0 2021-12-09 13:52:15
 0  0      0 4697624 129852 1573732    0    0     0   756 1337 11130 15  4 75  7  0 2021-12-09 13:52:16
 0  0      0 4699660 129852 1573780    0    0     0     0  834 6215  4  3 93  0  0 2021-12-09 13:52:17
 0  1      0 4699932 129852 1573800    0    0     0   188  819 6346  4  3 91  2  0 2021-12-09 13:52:18
 0  0      0 4698672 129852 1573960    0    0     0   840 1136 11363 11  7 80  3  0 2021-12-09 13:52:19
 1  0      0 4698672 129852 1573960    0    0     0     0  548 5304  3  3 94  0  0 2021-12-09 13:52:20
 0  0      0 4698884 129852 1574120    0    0     0   760 1481 13206 14  6 75  5  0 2021-12-09 13:52:21
 0  0      0 4699176 129852 1574120    0    0     0     0  820 6056  7  3 90  0  0 2021-12-09 13:52:22
 0  0      0 4699428 129852 1574284    0    0     0   784 1458 11241 10  6 80  4  0 2021-12-09 13:52:23
 0  0      0 4698924 129852 1574292    0    0     0    76  884 5560  3  3 94  0  0 2021-12-09 13:52:24
 0  1      0 4698672 129852 1574296    0    0     0   128  849 6421  5  4 90  2  0 2021-12-09 13:52:25
 1  0      0 4696656 129852 1574468    0    0     0   668 1428 10070 13  5 79  3  0 2021-12-09 13:52:26
 0  0      0 4698632 129852 1574468    0    0     0     0  825 5967  4  2 94  0  0 2021-12-09 13:52:27
 0  0      0 4699428 129852 1574632    0    0     0   728 1478 11935 12  8 77  4  0 2021-12-09 13:52:28
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 4700144 129852 1574632    0    0     0    84  631 5352  3  4 93  0  0 2021-12-09 13:52:29
 1  0      0 4699428 129852 1574808    0    0     0   824 1900 13841 13  9 76  3  0 2021-12-09 13:52:30
 0  0      0 4699428 129852 1574812    0    0     0     0  834 6032  7  4 90  0  0 2021-12-09 13:52:31
 0  0      0 4699176 129852 1574812    0    0     0     0  524 4819  4  1 95  0  0 2021-12-09 13:52:32
 0  0      0 4696656 129852 1574992    0    0     0   844 1596 11888 14  6 75  5  0 2021-12-09 13:52:33
 0  0      0 4697664 129852 1574992    0    0     0     0  752 6407  4  4 93  0  0 2021-12-09 13:52:34
 1  0      0 4696656 129852 1575176    0    0     0   784 1324 11368 11  4 80  5  0 2021-12-09 13:52:35
 0  0      0 4698168 129852 1575180    0    0     0     4  802 6167  4  3 93  0  0 2021-12-09 13:52:36
 1  0      0 4695396 129852 1575340    0    0     0   784 1271 10026 12  5 80  4  0 2021-12-09 13:52:37
 0  0      0 4695396 129852 1575352    0    0     0     0  815 6318  5  3 93  0  0 2021-12-09 13:52:38
 0  0      0 4696152 129852 1575356    0    0     0     0  639 5397  3  2 95  0  0 2021-12-09 13:52:39
 1  0      0 4695104 129852 1575520    0    0     0   800 1640 11636 12  5 78  6  0 2021-12-09 13:52:40
 0  0      0 4697160 129852 1575524    0    0     0     0 1046 6763  5  4 91  0  0 2021-12-09 13:52:41
 0  0      0 4697160 129852 1575700    0    0     0   784 1309 10230 15  6 76  3  0 2021-12-09 13:52:42
 0  0      0 4697916 129852 1575704    0    0     0     0  738 6302  3  3 94  0  0 2021-12-09 13:52:43
 0  0      0 4696404 129852 1575820    0    0     0   812 1162 9722 11  6 80  4  0 2021-12-09 13:52:44
 0  0      0 4698672 129852 1575868    0    0     0     0  728 5961  5  4 91  0  0 2021-12-09 13:52:45
 0  0      0 4698672 129852 1575868    0    0     0     0  658 5728  4  2 94  0  0 2021-12-09 13:52:46
 0  0      0 4697664 129852 1576044    0    0     0   800 1588 10962 12  5 78  5  0 2021-12-09 13:52:47
 0  0      0 4697680 129852 1576048    0    0     0     4  815 5414  4  2 95  0  0 2021-12-09 13:52:48
 0  0      0 4696152 129852 1576220    0    0     0   800 1390 10458 14  7 75  4  0 2021-12-09 13:52:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 4696132 129852 1576224    0    0     0     0  809 6879  4  3 92  0  0 2021-12-09 13:52:50
 2  1      0 4694892 129852 1576396    0    0     0   800 1234 9463 10  5 82  4  0 2021-12-09 13:52:51
 1  0      0 4694892 129852 1576408    0    0     0    28  929 6604  8  2 89  0  0 2021-12-09 13:52:52
 1  0      0 4695136 129852 1576408    0    0     0     0  701 5195  6  3 92  0  0 2021-12-09 13:52:53
 1  0      0 4694640 129852 1576572    0    0     0   732 1795 14139 18  9 65  9  0 2021-12-09 13:52:54
 0  0      0 4697896 129852 1573452    0    0     0   164  684 5401  5  2 93  0  0 2021-12-09 13:52:55
 0  1      0 4696144 129852 1573888    0    0     0  1552 1616 11528 14  6 70 10  0 2021-12-09 13:52:56
 0  0      0 4696104 129852 1573860    0    0     0   344 1075 7840  8  5 85  1  0 2021-12-09 13:52:57
