Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

09:53:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:53:21        all      3.52      0.00      1.51      0.00      0.00     94.97
09:53:22        all      4.59      0.00      2.55      0.00      0.00     92.86
09:53:23        all      3.54      0.00      1.52      0.00      0.00     94.95
09:53:24        all      3.54      0.00      2.02      0.00      0.00     94.44
09:53:25        all      2.05      0.00      2.56      0.00      0.00     95.38
09:53:26        all      3.47      0.00      2.48      0.00      0.00     94.06
09:53:27        all      3.52      0.00      1.51      0.00      0.00     94.97
09:53:28        all      2.51      0.00      2.51      0.00      0.00     94.97
09:53:29        all      3.06      0.00      3.57      0.00      0.00     93.37
09:53:30        all     31.16      0.00     10.55      0.00      0.00     58.29
09:53:31        all     74.75      0.00      4.04      0.00      0.00     21.21
09:53:32        all     14.50      0.00      2.50      0.00      0.00     83.00
09:53:33        all      4.02      0.00      2.01      0.00      0.00     93.97
09:53:34        all     12.81      0.00      4.93      5.91      0.00     76.35
09:53:35        all      6.09      0.00      1.52      0.00      0.00     92.39
09:53:36        all      6.19      0.00      4.64      0.00      0.00     89.18
09:53:37        all     10.95      0.00      4.98      2.49      0.00     81.59
09:53:38        all      1.99      0.00      4.48      0.00      0.00     93.53
09:53:39        all      7.07      0.00      1.52      0.00      0.00     91.41
09:53:40        all      2.51      0.00      2.51      0.00      0.00     94.97
09:53:41        all     13.13      0.00      3.54      5.05      0.00     78.28
09:53:42        all      6.00      0.00      4.00      0.00      0.00     90.00
09:53:43        all      5.58      0.00      2.03      0.00      0.00     92.39
09:53:44        all     11.50      0.00      4.50      4.50      0.00     79.50
09:53:45        all      6.63      0.00      1.53      0.00      0.00     91.84
09:53:46        all      3.47      0.00      3.47      0.00      0.00     93.07
09:53:47        all      3.05      0.00      4.57      0.51      0.00     91.88
09:53:48        all      9.18      0.00      3.06      3.06      0.00     84.69
09:53:49        all      7.43      0.00      2.97      0.00      0.00     89.60
09:53:50        all      2.01      0.00      3.02      0.00      0.00     94.97
09:53:51        all     10.53      0.00      7.37      5.79      0.00     76.32
09:53:52        all      7.46      0.00      2.99      0.00      0.00     89.55
09:53:53        all      4.57      0.00      2.54      0.00      0.00     92.89
09:53:54        all      9.55      0.00      3.52      4.02      0.00     82.91
09:53:55        all      5.50      0.00      3.50      1.00      0.00     90.00
09:53:56        all      5.08      0.00      2.54      0.00      0.00     92.39
09:53:57        all      4.55      0.00      2.53      0.00      0.00     92.93
09:53:58        all     12.18      0.00      4.57      4.57      0.00     78.68
09:53:59        all      7.22      0.00      3.09      0.00      0.00     89.69
09:54:00        all      5.00      0.00      4.00      0.00      0.00     91.00
09:54:01        all     16.92      0.00      7.18      4.62      0.00     71.28
09:54:02        all      6.40      0.00      2.96      0.00      0.00     90.64
09:54:03        all      5.61      0.00      2.04      0.00      0.00     92.35
09:54:04        all      4.52      0.00      2.01      0.00      0.00     93.47
09:54:05        all     11.06      0.00      4.52      6.03      0.00     78.39
09:54:06        all      4.15      0.00      2.07      0.00      0.00     93.78
09:54:07        all      3.52      0.00      3.02      0.00      0.00     93.47
09:54:08        all     10.10      0.00      4.55      3.03      0.00     82.32
09:54:09        all      3.08      0.00      1.54      0.00      0.00     95.38
09:54:10        all      4.57      0.00      2.03      0.00      0.00     93.40
09:54:11        all      5.03      0.00      2.51      0.00      0.00     92.46
09:54:12        all     12.18      0.00      4.06      4.57      0.00     79.19
09:54:13        all      7.54      0.00      3.02      0.00      0.00     89.45
09:54:14        all      3.05      0.00      2.03      0.00      0.00     94.92
09:54:15        all     11.82      0.00      4.93      3.94      0.00     79.31
09:54:16        all      5.00      0.00      2.50      0.00      0.00     92.50
09:54:17        all      5.94      0.00      4.95      0.00      0.00     89.11
09:54:18        all      5.58      0.00      4.06      2.03      0.00     88.32
09:54:19        all     12.06      0.00      4.02      2.01      0.00     81.91
09:54:20        all      6.00      0.00      3.00      0.00      0.00     91.00
09:54:21        all      5.53      0.00      2.51      0.00      0.00     91.96
09:54:22        all     11.11      0.00      5.56      4.04      0.00     79.29
09:54:23        all      5.67      0.00      2.06      0.00      0.00     92.27
09:54:24        all      4.52      0.00      2.01      0.00      0.00     93.47
09:54:25        all     10.95      0.00      6.97      4.48      0.00     77.61
09:54:26        all      3.54      0.00      2.53      0.00      0.00     93.94
09:54:27        all      4.06      0.00      1.52      0.00      0.00     94.42
09:54:28        all      8.67      0.00      2.04      0.00      0.00     89.29
09:54:29        all     13.40      0.00      5.67      6.19      0.00     74.74
09:54:30        all      6.53      0.00      9.55      0.00      0.00     83.92
09:54:31        all      4.55      0.00      2.53      0.00      0.00     92.93
09:54:32        all     10.26      0.00      5.64      6.15      0.00     77.95
09:54:33        all      7.00      0.00      1.50      0.00      0.00     91.50
09:54:34        all      6.03      0.00      4.02      0.00      0.00     89.95
09:54:35        all      2.51      0.00      3.52      0.00      0.00     93.97
09:54:36        all     13.92      0.00      6.19      5.67      0.00     74.23
