Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

10:18:08        CPU     %user     %nice   %system   %iowait    %steal     %idle
10:18:09        all      3.06      0.00      1.02      0.00      0.00     95.92
10:18:10        all      3.98      0.00      2.49      0.00      0.00     93.53
10:18:11        all      5.03      0.00      3.02      0.00      0.00     91.96
10:18:12        all      4.02      0.00      2.51      0.00      0.00     93.47
10:18:13        all      3.05      0.00      3.05      0.51      0.00     93.40
10:18:14        all     25.13      0.00      6.03      0.00      0.00     68.84
10:18:15        all     71.07      0.00      9.64      0.00      0.00     19.29
10:18:16        all     47.98      0.00      5.05      0.00      0.00     46.97
10:18:17        all      5.47      0.00      1.99      0.00      0.00     92.54
10:18:18        all     13.07      0.00      5.53      7.04      0.00     74.37
10:18:19        all      5.08      0.00      3.05      0.00      0.00     91.88
10:18:20        all      5.00      0.00      3.00      0.00      0.00     92.00
10:18:21        all     13.64      0.00      7.07      5.05      0.00     74.24
10:18:22        all      3.03      0.00      3.54      0.00      0.00     93.43
10:18:23        all      9.23      0.00      4.10      5.13      0.00     81.54
10:18:24        all      6.53      0.00      4.02      0.50      0.00     88.94
10:18:25        all      4.02      0.00      2.51      0.00      0.00     93.47
10:18:26        all     17.91      0.00      6.97      5.47      0.00     69.65
10:18:27        all      4.52      0.00      1.51      0.00      0.00     93.97
10:18:28        all      5.91      0.00      4.43      2.46      0.00     87.19
10:18:29        all     11.62      0.00      5.56      1.52      0.00     81.31
10:18:30        all      4.46      0.00      8.42      0.00      0.00     87.13
10:18:31        all     12.50      0.00      5.50      5.00      0.00     77.00
10:18:32        all      3.52      0.00      3.02      0.00      0.00     93.47
10:18:33        all      3.96      0.00      4.95      0.99      0.00     90.10
10:18:34        all      9.18      0.00      6.12      3.57      0.00     81.12
10:18:35        all      4.48      0.00      2.99      0.00      0.00     92.54
10:18:36        all     16.83      0.00      6.44      4.46      0.00     72.28
10:18:37        all      8.46      0.00      1.99      0.00      0.00     89.55
10:18:38        all      2.53      0.00      3.03      0.00      0.00     94.44
10:18:39        all     12.38      0.00      5.94      3.47      0.00     78.22
10:18:40        all      4.93      0.00      2.46      0.00      0.00     92.61
10:18:41        all     14.21      0.00      2.03      4.57      0.00     79.19
10:18:42        all      6.97      0.00      1.99      0.00      0.00     91.04
10:18:43        all      4.98      0.00      2.99      0.00      0.00     92.04
10:18:44        all     12.50      0.00      5.00      5.00      0.00     77.50
10:18:45        all      4.06      0.00      2.03      0.00      0.00     93.91
10:18:46        all     14.00      0.00      4.50      5.00      0.00     76.50
10:18:47        all      6.06      0.00      2.02      0.00      0.00     91.92
10:18:48        all      3.54      0.00      3.03      0.00      0.00     93.43
10:18:49        all     13.57      0.00      6.03     17.59      0.00     62.81
10:18:50        all      4.41      0.00      3.43      0.00      0.00     92.16
10:18:51        all      4.55      0.00      4.04      2.02      0.00     89.39
10:18:52        all     10.50      0.00      7.00      1.50      0.00     81.00
10:18:53        all      3.03      0.00      1.52      0.00      0.00     95.45
10:18:54        all     13.27      0.00      6.12      3.57      0.00     77.04
10:18:55        all      5.47      0.00      2.99      0.00      0.00     91.54
10:18:56        all      8.04      0.00      3.02      0.00      0.00     88.94
10:18:57        all     16.42      0.00      5.47      4.48      0.00     73.63
10:18:58        all      6.22      0.00      2.07      0.00      0.00     91.71
10:18:59        all     17.44      0.00      6.67      3.59      0.00     72.31
10:19:00        all      5.00      0.00      3.00      0.00      0.00     92.00
10:19:01        all      6.00      0.00      2.50      0.00      0.00     91.50
10:19:02        all     12.25      0.00      6.86      4.41      0.00     76.47
10:19:03        all      2.51      0.00      3.02      0.00      0.00     94.47
10:19:04        all      9.64      0.00      4.57      3.55      0.00     82.23
10:19:05        all      6.09      0.00      3.05      0.00      0.00     90.86
10:19:06        all      7.54      0.00      1.51      0.00      0.00     90.95
10:19:07        all     12.76      0.00      3.57     14.80      0.00     68.88
10:19:08        all      2.58      0.00      1.55      0.00      0.00     95.88
10:19:09        all      7.07      0.00      2.53      3.03      0.00     87.37
10:19:10        all     13.37      0.00      5.45      7.43      0.00     73.76
10:19:11        all      3.00      0.00      3.50      0.00      0.00     93.50
10:19:12        all     12.56      0.00      3.52      6.03      0.00     77.89
10:19:13        all      4.52      0.00      2.51      0.00      0.00     92.96
10:19:14        all      2.03      0.00      4.57      1.52      0.00     91.88
10:19:15        all     11.73      0.00      4.59      3.06      0.00     80.61
10:19:16        all      8.21      0.00      3.59      0.00      0.00     88.21
10:19:17        all     12.76      0.00      3.57      4.08      0.00     79.59
10:19:18        all      5.13      0.00      1.54      0.00      0.00     93.33
10:19:19        all      2.50      0.00      3.50      0.00      0.00     94.00
10:19:20        all     10.82      0.00      5.15      8.25      0.00     75.77
10:19:21        all      3.54      0.00      2.53      0.00      0.00     93.94
10:19:22        all     12.31      0.00      2.05     11.28      0.00     74.36
