procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 5208644  91396 1291908    0    0    82   108  393 3044  6  3 90  1  0 2021-12-09 09:53:22
 0  0      0 5208384  91396 1291912    0    0     0     0  435 4158  4  1 95  0  0 2021-12-09 09:53:23
 0  0      0 5208392  91396 1291912    0    0     0     0  350 3748  2  2 96  0  0 2021-12-09 09:53:24
 0  0      0 5207332  91396 1291912    0    0     0     0  486 4252  4  3 94  0  0 2021-12-09 09:53:25
 0  0      0 5207384  91396 1291912    0    0     0     4  456 4495  4  3 94  0  0 2021-12-09 09:53:26
 0  0      0 5207384  91396 1291912    0    0     0     0  377 4353  2  2 96  0  0 2021-12-09 09:53:27
 4  0      0 5207132  91396 1291912    0    0     0     0  562 4944  4  2 95  0  0 2021-12-09 09:53:28
 0  0      0 5207132  91396 1291912    0    0     0     0  577 5450  2  3 95  0  0 2021-12-09 09:53:29
 2  0      0 5185136  91396 1291916    0    0     0     0  575 6349 17  5 79  0  0 2021-12-09 09:53:30
 2  0      0 5152376  91396 1291916    0    0     0     0  656 7446 71 11 19  0  0 2021-12-09 09:53:31
 0  0      0 5135704  91396 1291916    0    0     0     4  551 5598 34  4 63  0  0 2021-12-09 09:53:32
 0  0      0 5135216  91396 1291916    0    0     0     0  488 4291  4  2 95  0  0 2021-12-09 09:53:33
 0  0      0 5134704  91480 1291896    0    0     0   728 1251 10963 13  4 77  5  0 2021-12-09 09:53:34
 0  0      0 5134712  91480 1291972    0    0     0     0  853 6351  6  2 92  0  0 2021-12-09 09:53:35
 0  0      0 5115440  91480 1291972    0    0     0     0  859 6483  7  5 88  0  0 2021-12-09 09:53:36
 0  1      0 5115172  91516 1291936    0    0     0   228  454 5170  3  3 94  1  0 2021-12-09 09:53:37
 3  0      0 5114936  91588 1292032    0    0     0   456 1041 9177  9  5 83  2  0 2021-12-09 09:53:38
 0  0      0 5114936  91588 1292032    0    0     0     0  747 5579  5  3 93  0  0 2021-12-09 09:53:39
 0  0      0 5111880  91588 1292032    0    0     0     0  846 5802  4  2 94  0  0 2021-12-09 09:53:40
 1  0      0 5111124  91704 1291988    0    0     0   700 1260 9066 11  4 80  4  0 2021-12-09 09:53:41
 0  0      0 5110368  91704 1292092    0    0     0     0  651 5928  8  4 88  0  0 2021-12-09 09:53:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5109864  91704 1292092    0    0     0     0  553 4872  5  2 93  0  0 2021-12-09 09:53:43
 4  1      0 5109864  91812 1292152    0    0     0   692 1349 10660 10  5 81  5  0 2021-12-09 09:53:44
 0  0      0 5110348  91812 1292156    0    0     0     0  774 6136  4  2 94  0  0 2021-12-09 09:53:45
 0  0      0 5110116  91812 1292164    0    0     0     0  657 5643  8  3 89  0  0 2021-12-09 09:53:46
 2  0      0 5110140  91812 1292164    0    0     0     0  704 5566  3  3 93  0  0 2021-12-09 09:53:47
 0  0      0 5110124  91912 1292160    0    0     0   676 1031 9241 10  5 82  4  0 2021-12-09 09:53:48
 0  0      0 5109352  91912 1292236    0    0     0     0  696 5862  5  3 92  0  0 2021-12-09 09:53:49
 0  0      0 5109100  91912 1292236    0    0     0     4  608 5523  5  3 92  0  0 2021-12-09 09:53:50
 0  0      0 5108100  91988 1292192    0    0     0   808 1712 13443 10  7 77  6  0 2021-12-09 09:53:51
 0  0      0 5107840  91988 1292284    0    0     0     0  639 5532  7  3 90  0  0 2021-12-09 09:53:52
 0  0      0 5107344  91988 1292288    0    0     0     0  873 6403  5  3 93  0  0 2021-12-09 09:53:53
 0  0      0 5107336  91988 1292288    0    0     0     0  896 6226  5  2 93  0  0 2021-12-09 09:53:54
 0  0      0 5104028  92132 1292348    0    0     0   684 1253 9412 11  5 79  5  0 2021-12-09 09:53:55
 0  0      0 5103768  92132 1292348    0    0     0    32  827 6444  6  3 92  0  0 2021-12-09 09:53:56
 0  0      0 5103816  92132 1292348    0    0     0     0  707 5169  3  3 95  0  0 2021-12-09 09:53:57
 0  0      0 5103272  92264 1292316    0    0     0   680 1528 12011 13  6 76  5  0 2021-12-09 09:53:58
 0  0      0 5103020  92264 1292420    0    0     0     0 1016 7162  8  3 89  0  0 2021-12-09 09:53:59
 0  0      0 5103012  92264 1292420    0    0     0     0 1019 7220  5  3 92  0  0 2021-12-09 09:54:00
 1  1      0 5103020  92268 1292424    0    0     0    52  630 5947  5  5 90  1  0 2021-12-09 09:54:01
 0  0      0 5103028  92372 1292480    0    0     0   576 1062 10289 18  5 73  4  0 2021-12-09 09:54:02
 0  0      0 5102776  92372 1292480    0    0     0     0  820 6291  7  3 91  0  0 2021-12-09 09:54:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5102776  92372 1292484    0    0     0     0  714 5389  3  2 95  0  0 2021-12-09 09:54:04
 1  0      0 5102776  92516 1292456    0    0     0   668 1312 11197 11  5 79  6  0 2021-12-09 09:54:05
 0  0      0 5103028  92516 1292548    0    0     0   116 1122 7979  6  2 92  0  0 2021-12-09 09:54:06
 0  0      0 5103028  92516 1292548    0    0     0     0  734 5485  4  3 94  0  0 2021-12-09 09:54:07
 2  1      0 5103280  92588 1292568    0    0     0   348  756 6293  4  3 91  2  0 2021-12-09 09:54:08
 0  0      0 5103280  92688 1292604    0    0     0   376 1301 8325  9  3 86  2  0 2021-12-09 09:54:09
 0  0      0 5103036  92688 1292604    0    0     0     0  812 6293  5  3 92  0  0 2021-12-09 09:54:10
 0  0      0 5102776  92688 1292616    0    0     0    20  620 5529  4  2 94  0  0 2021-12-09 09:54:11
 0  0      0 5102524  92844 1292576    0    0     0   688 1251 9966 14  4 79  4  0 2021-12-09 09:54:12
 0  0      0 5102524  92844 1292688    0    0     0     0  941 6515  7  3 90  0  0 2021-12-09 09:54:13
 0  0      0 5102288  92844 1292688    0    0     0     4  622 5279  4  3 94  0  0 2021-12-09 09:54:14
 0  0      0 5102020  93020 1292740    0    0     0   700  920 9770 12  4 80  4  0 2021-12-09 09:54:15
 0  0      0 5102020  93020 1292740    0    0     0     0  958 6024  4  3 94  0  0 2021-12-09 09:54:16
