Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

13:31:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:32:00        all     11.79      0.00      2.56      5.13      0.00     80.51
13:32:01        all      5.61      0.00      3.57      0.00      0.00     90.82
13:32:02        all      8.46      0.00      3.48      0.00      0.00     88.06
13:32:03        all     12.76      0.00      4.59      4.59      0.00     78.06
13:32:04        all      4.52      0.00      2.01      0.00      0.00     93.47
13:32:05        all     11.79      0.00      4.62      4.62      0.00     78.97
13:32:06        all      4.57      0.00      3.55      0.00      0.00     91.88
13:32:07        all      8.00      0.00      3.50      3.50      0.00     85.00
13:32:08        all      9.60      0.00      4.04      1.52      0.00     84.85
13:32:09        all      3.57      0.00      2.55      0.00      0.00     93.88
13:32:10        all     14.36      0.00      4.62      4.62      0.00     76.41
13:32:11        all      3.02      0.00      1.51      0.00      0.00     95.48
13:32:12        all     12.76      0.00      4.08      4.08      0.00     79.08
13:32:13        all      2.03      0.00      3.05      0.00      0.00     94.92
13:32:14        all      4.55      0.00      3.03      2.02      0.00     90.40
13:32:15        all     12.00      0.00      5.00      2.50      0.00     80.50
13:32:16        all      2.02      0.00      2.53      0.00      0.00     95.45
13:32:17        all     15.50      0.00      7.50      6.00      0.00     71.00
13:32:18        all      6.50      0.00      2.50      0.00      0.00     91.00
13:32:19        all     10.36      0.00      3.11      4.66      0.00     81.87
13:32:20        all      6.44      0.00      2.48      0.00      0.00     91.09
13:32:21        all      2.54      0.00      2.54      0.00      0.00     94.92
13:32:22        all     58.33      0.00     25.00      5.21      0.00     11.46
13:32:23        all     10.10      0.00      4.55      4.04      0.00     81.31
13:32:24        all     16.58      0.00      4.02      4.52      0.00     74.87
13:32:25        all      4.04      0.00      2.53      0.00      0.00     93.43
13:32:26        all     12.94      0.00      6.97      3.98      0.00     76.12
13:32:27        all      6.09      0.00      3.55      0.00      0.00     90.36
13:32:28        all      4.55      0.00      1.01      0.00      0.00     94.44
13:32:29        all     12.69      0.00      5.58      4.06      0.00     77.66
13:32:30        all      7.50      0.00      1.50      1.00      0.00     90.00
13:32:31        all     12.63      0.00      8.42      8.42      0.00     70.53
13:32:32        all      4.00      0.00      2.00      0.00      0.00     94.00
13:32:33        all      2.54      0.00      2.54      0.00      0.00     94.92
13:32:34        all     14.43      0.00      4.64      5.15      0.00     75.77
13:32:35        all      4.50      0.00      2.00      0.00      0.00     93.50
13:32:36        all     10.82      0.00      3.61      3.09      0.00     82.47
13:32:37        all      4.52      0.00      1.01      0.00      0.00     94.47
13:32:38        all     12.24      0.00      5.10      4.08      0.00     78.57
13:32:39        all      6.03      0.00      2.01      0.00      0.00     91.96
13:32:40        all      4.55      0.00      2.53      0.00      0.00     92.93
