procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 5189996  96824 1295740    0    0    78   106  393 3051  6  3 90  1  0 2021-12-09 09:58:43
 0  0      0 5189996  96824 1295744    0    0     0     0  465 4932  3  3 95  0  0 2021-12-09 09:58:44
 0  0      0 5189996  96824 1295744    0    0     0     4  358 4144  2  3 95  0  0 2021-12-09 09:58:45
 0  0      0 5169724  96824 1295744    0    0     0     0  604 5092  4  3 93  0  0 2021-12-09 09:58:46
 0  0      0 5169480  96824 1295744    0    0     0     0  531 4840  4  3 94  0  0 2021-12-09 09:58:47
 0  0      0 5169220  96824 1295748    0    0     0     0  677 5464  3  2 95  0  0 2021-12-09 09:58:48
 0  0      0 5168708  96824 1295748    0    0     0     0  511 4904  4  3 94  0  0 2021-12-09 09:58:49
 0  0      0 5168188  96824 1295756    0    0     0     0  526 4822  3  2 95  0  0 2021-12-09 09:58:50
 0  0      0 5167188  96824 1295756    0    0     0     4  557 5353  5  2 94  0  0 2021-12-09 09:58:51
 0  0      0 5166912  96824 1295756    0    0     0     0  498 4917  5  2 93  0  0 2021-12-09 09:58:52
 1  0      0 5163644  96824 1295756    0    0     0     0 1023 8275  6  5 89  0  0 2021-12-09 09:58:53
 3  0      0 5113212  96824 1295756    0    0     0     0  401 5593 68  6 26  0  0 2021-12-09 09:58:54
 0  0      0 5093776  96824 1295760    0    0     0     0  986 8427 37  7 56  0  0 2021-12-09 09:58:55
 0  0      0 5093264  96824 1295764    0    0     0     0  990 6281  3  2 95  0  0 2021-12-09 09:58:56
 0  0      0 5092516  96956 1295836    0    0     0   792 1246 11186 13  6 75  7  0 2021-12-09 09:58:57
 0  0      0 5092020  96956 1295836    0    0     0     0  634 5576  4  2 94  0  0 2021-12-09 09:58:58
 7  0      0 5091508  96956 1295840    0    0     0     0  826 6293  5  3 92  0  0 2021-12-09 09:58:59
 0  0      0 5091760  97056 1295924    0    0     0   660 1344 10757 11  5 79  5  0 2021-12-09 09:59:00
 1  0      0 5091760  97056 1295932    0    0     0     0  712 6467 12  2 87  0  0 2021-12-09 09:59:01
 0  0      0 5092012  97056 1295932    0    0     0     0  807 6547  6  3 91  0  0 2021-12-09 09:59:02
 2  0      0 5092012  97168 1295996    0    0     0   680 1359 10437 13  6 78  4  0 2021-12-09 09:59:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5089956  97168 1295996    0    0     0     0  816 6070  5  3 92  0  0 2021-12-09 09:59:04
 7  0      0 5089964  97168 1296000    0    0     0     0  372 4172  3  2 95  0  0 2021-12-09 09:59:05
 0  0      0 5089460  97276 1296084    0    0     0   668 1443 11012 10  7 79  4  0 2021-12-09 09:59:06
 1  0      0 5086568  97276 1296160    0    0     0     0  846 5654 24 10 66  0  0 2021-12-09 09:59:07
 1  1      0 5081512  97328 1296220    0    0     0   484 1602 8976 28 13 56  3  0 2021-12-09 09:59:08
 0  0      0 5081512  97388 1296260    0    0     0   368 1109 9362 12  6 81  2  0 2021-12-09 09:59:09
 0  0      0 5081260  97388 1296260    0    0     0     0  832 6062  2  4 95  0  0 2021-12-09 09:59:10
 1  0      0 5081260  97496 1296216    0    0     0   708 1509 10194 10  5 80  5  0 2021-12-09 09:59:11
 0  0      0 5081260  97496 1296328    0    0     0     0  841 5950  6  3 91  0  0 2021-12-09 09:59:12
 6  0      0 5080756  97496 1296332    0    0     0    16  754 6427  6  3 91  0  0 2021-12-09 09:59:13
 0  0      0 5080504  97592 1296352    0    0     0   752 1582 10403 13  6 78  4  0 2021-12-09 09:59:14
 0  0      0 5080504  97592 1296440    0    0     0     4 1095 7887  8  3 90  0  0 2021-12-09 09:59:15
 0  0      0 5080504  97592 1296440    0    0     0     0  671 5215  3  2 95  0  0 2021-12-09 09:59:16
 0  0      0 5080252  97696 1296512    0    0     0   756 1225 10407 24  6 66  4  0 2021-12-09 09:59:17
 1  0      0 5079244  97696 1296512    0    0     0    20  934 6519  4  3 93  0  0 2021-12-09 09:59:18
 0  0      0 5079244  97696 1296516    0    0     0     0 1022 7251  7  2 91  0  0 2021-12-09 09:59:19
 0  0      0 5078992  97784 1296604    0    0     0   680 1174 10783 10  5 81  4  0 2021-12-09 09:59:20
 0  0      0 5078992  97784 1296608    0    0     0     4  792 6262  5  4 91  0  0 2021-12-09 09:59:21
 0  0      0 5078488  97784 1296608    0    0     0     0  866 6166  5  3 92  1  0 2021-12-09 09:59:22
 1  0      0 5078992  97904 1296680    0    0     0   756 1414 10736 14  6 77  3  0 2021-12-09 09:59:23
 0  0      0 5078992  97904 1296680    0    0     0     0  721 5592  6  2 93  0  0 2021-12-09 09:59:24
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
12  1      0 5078236  97932 1296680    0    0     0   288  836 6999  5  4 89  3  0 2021-12-09 09:59:25
 0  0      0 5078196  97984 1296776    0    0     0   392 1511 10160  9  5 84  3  0 2021-12-09 09:59:26
 0  0      0 5078496  97984 1296776    0    0     0     4  718 6216  6  4 90  0  0 2021-12-09 09:59:27
 0  0      0 5078488  98068 1296756    0    0     0   692 1196 8988  8  4 83  5  0 2021-12-09 09:59:28
 0  0      0 5078488  98068 1296844    0    0     0   356  940 6477  7  3 90  0  0 2021-12-09 09:59:29
 0  0      0 5078504  98068 1296848    0    0     0     0 1073 6966  4  3 94  0  0 2021-12-09 09:59:30
 1  0      0 5078244  98180 1296824    0    0     0   792 1246 9596 12  4 80  4  0 2021-12-09 09:59:31
