procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 5191412  90140 1291196    0    0    85   111  397 3066  6  3 90  1  0 2021-12-09 09:49:17
 0  0      0 5191428  90140 1291204    0    0     0     0  752 6113  4  3 93  0  0 2021-12-09 09:49:18
 2  0      0 5190916  90140 1291204    0    0     0     4  464 4803  5  2 94  0  0 2021-12-09 09:49:19
 0  0      0 5190420  90140 1291208    0    0     0     0  555 5265  3  3 94  0  0 2021-12-09 09:49:20
 0  0      0 5190420  90140 1291208    0    0     0     0  517 5532  6  3 91  0  0 2021-12-09 09:49:21
 0  0      0 5190168  90140 1291208    0    0     0     0  890 5929  6  4 90  0  0 2021-12-09 09:49:22
 0  0      0 5189160  90140 1291208    0    0     0     0 1029 6951  5  2 94  0  0 2021-12-09 09:49:23
 0  0      0 5189160  90140 1291208    0    0     0     0  625 5561  3  3 94  0  0 2021-12-09 09:49:24
 1  0      0 5187900  90140 1291208    0    0     0     4  776 5859  4  2 95  0  0 2021-12-09 09:49:25
 1  0      0 5180332  90140 1291212    0    0     0     0  866 6109  7  5 89  0  0 2021-12-09 09:49:26
 4  0      0 5133680  90140 1291212    0    0     0     0  379 6880 70  5 24  0  0 2021-12-09 09:49:27
 0  0      0 5115252  90140 1291212    0    0     0     0  511 6550 35  6 60  0  0 2021-12-09 09:49:28
 0  0      0 5114496  90140 1291216    0    0     0    52  563 5018  2  3 95  0  0 2021-12-09 09:49:29
 0  0      0 5113740  90236 1291280    0    0     0   724 1591 13656 13 12 71  5  0 2021-12-09 09:49:30
 0  0      0 5112984  90236 1291280    0    0     0     4  703 5999  9  2 89  0  0 2021-12-09 09:49:31
 0  0      0 5112984  90236 1291280    0    0     0     0  806 6697  5  4 92  0  0 2021-12-09 09:49:32
 0  0      0 5112984  90236 1291280    0    0     0     0  578 5308  5  2 94  0  0 2021-12-09 09:49:33
 0  0      0 5112984  90236 1291284    0    0     0     0  849 6390  5  3 92  0  0 2021-12-09 09:49:34
 0  0      0 5112732  90236 1291284    0    0     0     0  884 6821  3  4 94  0  0 2021-12-09 09:49:35
 2  0      0 5112732  90236 1291288    0    0     0     0  849 7168  9  3 88  0  0 2021-12-09 09:49:36
 0  0      0 5112732  90236 1291292    0    0     0     4  749 5632  4  3 93  0  0 2021-12-09 09:49:37
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 9  0      0 5112732  90360 1291344    0    0     0   672 1405 10332 13  6 77  4  0 2021-12-09 09:49:38
 0  0      0 5111384  90360 1291344    0    0     0     0  675 6041  7  4 90  0  0 2021-12-09 09:49:39
 2  0      0 5111472  90360 1291344    0    0     0     0  575 5518  3  4 93  0  0 2021-12-09 09:49:40
 0  0      0 5111704  90360 1291344    0    0     0     0  823 6724  9  3 88  0  0 2021-12-09 09:49:41
 0  0      0 5111724  90360 1291344    0    0     0     0  676 5447  6  3 91  0  0 2021-12-09 09:49:42
 0  0      0 5111724  90360 1291348    0    0     0     4  644 5193  4  3 93  0  0 2021-12-09 09:49:43
 0  0      0 5112228  90360 1291348    0    0     0     0  931 7365  5  4 92  0  0 2021-12-09 09:49:44
 0  0      0 5112480  90360 1291356    0    0     0     0  794 5969  5  4 91  0  0 2021-12-09 09:49:45
 0  0      0 5112228  90360 1291356    0    0     0     0  911 5982  4  3 94  0  0 2021-12-09 09:49:46
 0  0      0 5111724  90516 1291400    0    0     0   680 1285 10270 11  4 81  4  0 2021-12-09 09:49:47
 0  0      0 5111220  90516 1291400    0    0     0     0  702 5677  3  3 94  0  0 2021-12-09 09:49:48
 0  0      0 5111220  90516 1291400    0    0     0     4 1055 7167  4  3 93  0  0 2021-12-09 09:49:49
 0  0      0 5110976  90516 1291400    0    0     0     0  594 5595  6  3 91  0  0 2021-12-09 09:49:50
 0  0      0 5110984  90516 1291404    0    0     0     0  772 6005  7  3 91  0  0 2021-12-09 09:49:51
 0  0      0 5110968  90516 1291404    0    0     0     0  560 5458  5  3 93  0  0 2021-12-09 09:49:52
 7  0      0 5110724  90516 1291412    0    0     0     0  864 6728  6  5 89  0  0 2021-12-09 09:49:53
