Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

13:12:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:12:56        all      5.18      0.00      2.07      0.00      0.00     92.75
13:12:57        all      4.98      0.00      2.99      0.50      0.00     91.54
13:12:58        all      2.55      0.00      1.53      0.00      0.00     95.92
13:12:59        all      4.10      0.00      2.05      0.00      0.00     93.85
13:13:00        all      1.52      0.00      2.02      0.00      0.00     96.46
13:13:01        all      7.46      0.00      2.99      0.00      0.00     89.55
13:13:02        all     68.16      0.00      5.97      0.00      0.00     25.87
13:13:03        all     37.56      0.00      3.55      0.00      0.00     58.88
13:13:04        all      3.61      0.00      1.03      0.00      0.00     95.36
13:13:05        all     18.59      0.00      7.04      4.02      0.00     70.35
13:13:06        all      5.56      0.00      1.52      0.00      0.00     92.93
13:13:07        all      4.52      0.00      2.01      3.52      0.00     89.95
13:13:08        all      9.00      0.00      6.00      2.50      0.00     82.50
13:13:09        all      5.50      0.00      2.50      0.00      0.00     92.00
13:13:10        all     14.21      0.00      4.06      4.57      0.00     77.16
13:13:11        all      4.98      0.00      2.49      0.00      0.00     92.54
13:13:12        all      9.23      0.00      3.59      5.64      0.00     81.54
13:13:13        all      4.55      0.00      4.55      0.00      0.00     90.91
13:13:14        all      4.98      0.00      3.48      0.00      0.00     91.54
13:13:15        all     12.31      0.00      3.59      5.13      0.00     78.97
13:13:16        all      4.50      0.00      2.50      0.00      0.00     93.00
13:13:17        all     14.93      0.00      3.98      3.98      0.00     77.11
13:13:18        all      5.50      0.00      4.50      0.00      0.00     90.00
13:13:19        all      9.50      0.00      5.00      4.50      0.00     81.00
13:13:20        all      9.23      0.00      1.03      0.51      0.00     89.23
13:13:21        all      3.55      0.00      3.05      0.00      0.00     93.40
13:13:22        all     12.06      0.00      5.53      6.53      0.00     75.88
13:13:23        all      4.50      0.00      2.00      0.00      0.00     93.50
13:13:24        all     13.57      0.00      6.03      3.02      0.00     77.39
13:13:25        all      8.25      0.00      3.09      0.00      0.00     88.66
13:13:26        all      4.95      0.00      3.47      0.00      0.00     91.58
13:13:27        all     11.79      0.00      6.15      4.62      0.00     77.44
13:13:28        all      2.05      0.00      2.05      0.00      0.00     95.90
13:13:29        all     36.87      0.00     14.14      5.05      0.00     43.94
13:13:30        all     17.86      0.00     17.86      3.06      0.00     61.22
13:13:31        all      9.50      0.00      3.00      3.50      0.00     84.00
13:13:32        all      4.93      0.00      5.42      0.99      0.00     88.67
13:13:33        all      4.08      0.00      1.53      0.00      0.00     94.39
