Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

10:35:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
10:35:26        all      4.98      0.00      2.49      0.00      0.00     92.54
10:35:27        all      2.06      0.00      2.06      0.00      0.00     95.88
10:35:28        all      6.63      0.00      4.59      0.00      0.00     88.78
10:35:29        all      7.25      0.00      2.07      0.00      0.00     90.67
10:35:30        all     64.10      0.00      9.74      0.00      0.00     26.15
10:35:31        all     43.88      0.00      7.65      0.00      0.00     48.47
10:35:32        all      4.04      0.00      2.02      0.00      0.00     93.94
10:35:33        all     12.76      0.00      4.08      5.10      0.00     78.06
10:35:34        all      6.09      0.00      2.54      0.00      0.00     91.37
10:35:35        all      3.00      0.00      3.00      0.00      0.00     94.00
10:35:36        all     14.21      0.00      5.58      3.05      0.00     77.16
10:35:37        all      2.55      0.00      1.53      0.00      0.00     95.92
10:35:38        all     11.22      0.00      4.59      9.18      0.00     75.00
10:35:39        all      9.60      0.00      2.02      0.00      0.00     88.38
10:35:40        all      4.55      0.00      2.53      0.00      0.00     92.93
10:35:41        all     14.43      0.00      6.97      4.98      0.00     73.63
10:35:42        all      3.50      0.00      3.50      0.00      0.00     93.00
10:35:43        all     11.68      0.00      3.05      5.58      0.00     79.70
10:35:44        all      6.06      0.00      1.01      0.00      0.00     92.93
10:35:45        all      3.52      0.00      3.02      0.00      0.00     93.47
10:35:46        all     11.68      0.00      4.57      4.06      0.00     79.70
10:35:47        all      3.06      0.00      1.53      0.00      0.00     95.41
10:35:48        all     10.40      0.00      4.95      4.95      0.00     79.70
10:35:49        all      5.56      0.00      4.04      0.00      0.00     90.40
10:35:50        all      4.50      0.00      3.00      0.00      0.00     92.50
10:35:51        all     12.06      0.00      5.53      5.53      0.00     76.88
10:35:52        all      5.97      0.00      2.49      0.00      0.00     91.54
10:35:53        all     10.20      0.00      5.10      4.59      0.00     80.10
10:35:54        all      5.05      0.00      2.53      0.00      0.00     92.42
10:35:55        all      2.53      0.00      1.52      0.00      0.00     95.96
10:35:56        all     15.90      0.00      4.10     12.31      0.00     67.69
10:35:57        all      2.59      0.00      0.00      0.00      0.00     97.41
10:35:58        all     12.69      0.00      4.57      5.58      0.00     77.16
10:35:59        all      8.54      0.00      4.02      0.00      0.00     87.44
10:36:00        all      4.52      0.00      2.51      0.00      0.00     92.96
10:36:01        all     12.56      0.00      5.03      5.53      0.00     76.88
10:36:02        all      4.08      0.00      2.04      0.00      0.00     93.88
10:36:03        all      9.64      0.00      5.08     11.68      0.00     73.60
10:36:04        all      5.03      0.00      1.51      0.00      0.00     93.47
10:36:05        all      1.55      0.00      2.58      0.00      0.00     95.88
10:36:06        all     15.15      0.00      6.06      4.04      0.00     74.75
10:36:07        all      3.03      0.00      2.02      0.00      0.00     94.95
10:36:08        all     10.61      0.00      3.54      7.07      0.00     78.79
10:36:09        all      5.15      0.00      2.58      0.00      0.00     92.27
10:36:10        all      7.80      0.00      3.41      0.00      0.00     88.78
10:36:11        all     15.15      0.00      6.57      4.55      0.00     73.74
10:36:12        all      3.52      0.00      3.52      0.00      0.00     92.96
10:36:13        all     13.07      0.00      8.54      5.03      0.00     73.37
10:36:14        all      7.58      0.00      5.05      0.00      0.00     87.37
10:36:15        all      3.52      0.00      2.01      0.00      0.00     94.47
10:36:16        all     11.52      0.00      1.05      3.66      0.00     83.77
10:36:17        all      4.04      0.00      2.02      0.00      0.00     93.94
10:36:18        all     11.06      0.00      4.52      4.52      0.00     79.90
10:36:19        all      6.57      0.00      2.53      0.00      0.00     90.91
10:36:20        all      3.05      0.00      2.03      0.00      0.00     94.92
10:36:21        all     12.63      0.00      3.54      5.05      0.00     78.79
10:36:22        all      4.02      0.00      4.02      0.00      0.00     91.96
10:36:23        all     12.56      0.00      5.53      3.52      0.00     78.39
10:36:24        all      4.08      0.00      0.51      0.00      0.00     95.41
10:36:25        all      3.55      0.00      1.52      1.52      0.00     93.40
10:36:26        all     12.18      0.00      5.58      4.06      0.00     78.17
10:36:27        all      3.03      0.00      2.02      0.00      0.00     94.95
10:36:28        all     13.64      0.00      4.55      5.05      0.00     76.77
10:36:29        all      5.67      0.00      1.03      0.00      0.00     93.30
10:36:30        all      5.03      0.00      5.03      2.01      0.00     87.94
10:36:31        all     12.69      0.00      7.61      4.57      0.00     75.13
10:36:32        all      4.08      0.00      2.04      0.00      0.00     93.88
10:36:33        all     11.88      0.00      4.95      4.46      0.00     78.71
10:36:34        all      4.62      0.00      2.05      0.00      0.00     93.33
10:36:35        all      4.98      0.00      2.99      1.99      0.00     90.05
10:36:36        all     11.11      0.00      4.04      4.55      0.00     80.30
10:36:37        all      2.04      0.00      2.04      0.00      0.00     95.92
10:36:38        all     12.94      0.00      5.97      4.98      0.00     76.12
10:36:39        all      7.04      0.00      2.01      0.00      0.00     90.95
10:36:40        all      7.14      0.00      3.57      2.55      0.00     86.73
10:36:41        all      9.45      0.00      4.98      1.99      0.00     83.58
10:36:42        all      3.61      0.00      2.58      0.00      0.00     93.81
10:36:43        all     11.56      0.00      3.52      5.53      0.00     79.40
10:36:44        all      2.02      0.00      3.54      0.00      0.00     94.44
10:36:45        all      7.22      0.00      3.09      5.67      0.00     84.02
10:36:46        all      8.42      0.00      3.96      0.99      0.00     86.63
10:36:47        all      2.06      0.00      2.06      0.00      0.00     95.88
10:36:48        all     11.56      0.00      4.02      5.03      0.00     79.40
10:36:49        all      4.04      0.00      3.03      0.00      0.00     92.93
10:36:50        all     10.66      0.00      4.57      5.08      0.00     79.70
10:36:51        all      7.04      0.00      3.02      0.00      0.00     89.95
10:36:52        all      5.08      0.00      2.03      0.00      0.00     92.89
10:36:53        all     12.56      0.00      4.02      5.03      0.00     78.39
10:36:54        all      5.13      0.00      1.54      0.00      0.00     93.33
10:36:55        all     14.36      0.00      4.46      3.96      0.00     77.23
10:36:56        all      4.98      0.00      3.48      0.00      0.00     91.54
10:36:57        all      5.56      0.00      5.05      0.00      0.00     89.39
10:36:58        all     16.67      0.00      6.06      4.55      0.00     72.73
10:36:59        all      6.50      0.00      3.00      0.00      0.00     90.50
10:37:00        all     10.55      0.00      4.52      5.03      0.00     79.90
10:37:01        all      4.59      0.00      2.55      0.00      0.00     92.86
10:37:02        all      4.64      0.00      1.55      0.00      0.00     93.81
10:37:03        all     11.94      0.00      3.48      5.47      0.00     79.10
10:37:04        all      5.58      0.00      1.02      0.00      0.00     93.40
10:37:05        all     11.50      0.00      8.00      4.00      0.00     76.50
10:37:06        all      4.15      0.00      1.55      0.00      0.00     94.30
10:37:07        all      3.54      0.00      2.53      1.01      0.00     92.93
10:37:08        all     12.00      0.00      5.00      4.00      0.00     79.00
10:37:09        all      5.58      0.00      1.52      0.00      0.00     92.89
10:37:10        all     14.29      0.00      3.57      4.59      0.00     77.55
10:37:11        all      4.06      0.00      2.54      0.00      0.00     93.40
10:37:12        all      7.14      0.00      2.55      3.06      0.00     87.24
10:37:13        all      9.09      0.00      2.02      1.01      0.00     87.88
10:37:14        all      4.50      0.00      2.50      0.00      0.00     93.00
10:37:15        all     10.26      0.00      4.62      5.64      0.00     79.49
10:37:16        all      5.58      0.00      2.03      0.00      0.00     92.39
10:37:17        all     11.00      0.00      6.00      3.00      0.00     80.00
10:37:18        all      7.58      0.00      3.54      0.51      0.00     88.38
10:37:19        all      7.46      0.00      2.49      0.00      0.00     90.05
10:37:20        all     13.13      0.00      4.55      4.55      0.00     77.78
10:37:21        all      3.57      0.00      1.53      0.00      0.00     94.90
10:37:22        all     13.73      0.00      4.90      4.90      0.00     76.47
10:37:23        all      4.59      0.00      1.53      0.00      0.00     93.88
10:37:24        all      3.52      0.00      2.01      0.00      0.00     94.47
10:37:25        all     13.33      0.00      4.62      5.13      0.00     76.92
10:37:26        all      3.55      0.00      2.54      0.00      0.00     93.91
10:37:27        all     10.26      0.00      4.62      5.13      0.00     80.00
10:37:28        all      5.50      0.00      3.00      0.00      0.00     91.50
10:37:29        all      6.12      0.00      1.53      0.00      0.00     92.35
10:37:30        all     15.15      0.00     10.10      5.05      0.00     69.70
10:37:31        all      4.55      0.00      4.04      0.00      0.00     91.41
10:37:32        all     12.06      0.00      4.02      6.03      0.00     77.89
10:37:33        all      3.54      0.00      2.02      0.00      0.00     94.44
10:37:34        all      5.00      0.00      4.00      0.00      0.00     91.00
10:37:35        all     11.17      0.00      4.06      4.06      0.00     80.71
10:37:36        all      5.97      0.00      3.98      0.00      0.00     90.05
10:37:37        all     11.44      0.00      7.96     11.44      0.00     69.15
10:37:38        all      7.54      0.00      2.51      3.02      0.00     86.93
10:37:39        all      6.70      0.00      2.58      0.00      0.00     90.72
10:37:40        all     10.61      0.00      7.07      5.05      0.00     77.27
10:37:41        all      5.13      0.00      2.05      0.00      0.00     92.82
10:37:42        all     14.00      0.00      5.50      5.50      0.00     75.00
10:37:43        all      3.61      0.00      1.03      0.00      0.00     95.36
10:37:44        all      3.96      0.00      1.98      0.00      0.00     94.06
10:37:45        all     11.17      0.00      6.60      7.11      0.00     75.13
10:37:46        all      5.08      0.00      1.02      0.00      0.00     93.91
10:37:47        all     12.37      0.00      5.67      5.67      0.00     76.29
10:37:48        all      5.00      0.00      4.00      0.00      0.00     91.00
10:37:49        all      4.06      0.00      2.03      0.00      0.00     93.91
10:37:50        all     16.33      0.00      4.08      3.57      0.00     76.02
10:37:51        all      4.02      0.00      2.51      0.00      0.00     93.47
10:37:52        all     13.13      0.00      5.05      4.55      0.00     77.27
10:37:53        all      5.05      0.00      2.02      0.00      0.00     92.93
10:37:54        all      6.03      0.00      2.01      0.00      0.00     91.96
10:37:55        all     10.15      0.00      6.09      9.64      0.00     74.11
10:37:56        all      4.04      0.00      2.53      0.00      0.00     93.43
10:37:57        all      9.00      0.00      6.00      4.00      0.00     81.00
10:37:58        all      4.55      0.00      4.55      0.00      0.00     90.91
10:37:59        all      3.61      0.00      1.55      0.00      0.00     94.85
10:38:00        all     12.76      0.00      4.59      5.10      0.00     77.55
10:38:01        all      3.52      0.00      1.51      0.00      0.00     94.97
10:38:02        all     10.10      0.00      6.57      5.56      0.00     77.78
10:38:03        all      4.02      0.00      4.02      0.00      0.00     91.96
10:38:04        all      3.55      0.00      1.02      0.00      0.00     95.43
