procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 4844820 129388 1536720    0    0    33    77  337  464  5  3 92  1  0 2021-12-09 13:12:57
 0  0      0 4844560 129392 1536724    0    0     0    48  644 5439  4  2 94  1  0 2021-12-09 13:12:58
 0  0      0 4844308 129392 1536724    0    0     0     0  754 6390  4  2 95  0  0 2021-12-09 13:12:59
 0  0      0 4844308 129392 1536724    0    0     0     0  538 4967  3  2 95  0  0 2021-12-09 13:13:00
 0  0      0 4844056 129392 1536728    0    0     0     0  681 5788  4  3 94  0  0 2021-12-09 13:13:01
 1  0      0 4805208 129392 1536728    0    0     0     0  401 6871 38  5 56  0  0 2021-12-09 13:13:02
 0  0      0 4770620 129392 1536732    0    0     0     0  472 7180 72  5 23  0  0 2021-12-09 13:13:03
 0  0      0 4769864 129392 1536736    0    0     0     4  561 5168  4  3 93  0  0 2021-12-09 13:13:04
 4  1      0 4769108 129392 1536748    0    0     0    96  983 7234  6  3 90  1  0 2021-12-09 13:13:05
 0  0      0 4769864 129392 1536916    0    0     0   660 1911 13032 17  6 74  4  0 2021-12-09 13:13:06
 0  0      0 4769612 129392 1536916    0    0     0     0  769 5409  4  2 94  0  0 2021-12-09 13:13:07
 0  0      0 4765832 129392 1537100    0    0     0   784 1275 10700 11  6 77  6  0 2021-12-09 13:13:08
 0  0      0 4765328 129392 1537100    0    0     0     0  664 5291  2  2 96  0  0 2021-12-09 13:13:09
 8  0      0 4766084 129392 1537256    0    0     0   804 1654 12528 15  4 76  5  0 2021-12-09 13:13:10
 3  0      0 4766588 129392 1537260    0    0     0     0  783 5955  6  3 91  0  0 2021-12-09 13:13:11
 0  0      0 4765044 129392 1537260    0    0     0     0  619 5524  4  2 95  0  0 2021-12-09 13:13:12
 2  0      0 4763280 129392 1537436    0    0     0   792 1292 9865 11  5 79  5  0 2021-12-09 13:13:13
 1  0      0 4763280 129392 1537436    0    0     0     0  755 6111  6  3 91  0  0 2021-12-09 13:13:14
 0  0      0 4764540 129392 1537596    0    0     0   768 1523 9962 12  6 77  5  0 2021-12-09 13:13:15
 5  0      0 4764540 129392 1537596    0    0     0     4  641 4953  4  2 94  0  0 2021-12-09 13:13:16
11  0      0 4764036 129392 1537628    0    0     0   280  724 6216  7  3 89  3  0 2021-12-09 13:13:17
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 4761264 129392 1537772    0    0     0   488 1298 9943 14  5 79  2  0 2021-12-09 13:13:18
 0  0      0 4762524 129392 1537772    0    0     0     0  836 6499  4  3 93  0  0 2021-12-09 13:13:19
 9  0      0 4761524 129392 1537948    0    0     0   820 1454 11094 13  4 79  5  0 2021-12-09 13:13:20
 0  0      0 4761768 129392 1537948    0    0     0     0  702 6046  5  2 94  0  0 2021-12-09 13:13:21
 0  0      0 4758744 129392 1538124    0    0     0   848 1316 10164 11  6 76  7  0 2021-12-09 13:13:22
 0  0      0 4758996 129392 1538124    0    0     0     0  658 5464  6  2 92  0  0 2021-12-09 13:13:23
 2  0      0 4759752 129392 1538124    0    0     0     0  652 5154  4  2 94  0  0 2021-12-09 13:13:24
 8  0      0 4758744 129392 1538288    0    0     0   816 2263 15586 18  7 72  3  0 2021-12-09 13:13:25
 0  0      0 4758720 129392 1538288    0    0     0     0 1343 8465  4  3 93  0  0 2021-12-09 13:13:26
 2  0      0 4753704 129392 1538448    0    0     0   764 1613 11302 12  6 77  5  0 2021-12-09 13:13:27
 0  0      0 4753956 129392 1538452    0    0     0     4  890 7014  5  4 92  0  0 2021-12-09 13:13:28
 8  1      0 4755972 129392 1538500    0    0     0   552 1243 9629  7  4 86  4  0 2021-12-09 13:13:29
 0  0      0 4750176 129396 1539188    0    0     0  2116 8562 56536 47 29 21  5  0 2021-12-09 13:13:30
 0  0      0 4750176 129396 1539188    0    0     0     0  737 5725  3  1 96  0  0 2021-12-09 13:13:31
 0  0      0 4750680 129400 1539348    0    0     0   808 1406 11038 11  6 79  4  0 2021-12-09 13:13:32
 4  0      0 4751436 129400 1539352    0    0     0     0  633 5020  4  2 94  0  0 2021-12-09 13:13:33
 0  2      0 4752436 129400 1539736    0    0     0  1492 1711 12647 15  6 70  9  0 2021-12-09 13:13:34
 2  0      0 4751672 129400 1539788    0    0     0   480  774 6497  7  4 85  4  0 2021-12-09 13:13:35
 0  0      0 4753948 129400 1539792    0    0     0     0  806 6532  5  3 93  0  0 2021-12-09 13:13:36
 0  0      0 4753192 129400 1539952    0    0     0   904 1372 11573 15  5 75  6  0 2021-12-09 13:13:37
 0  0      0 4754200 129400 1539952    0    0     0     0  893 6284  5  3 93  0  0 2021-12-09 13:13:38
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 4747080 129400 1540128    0    0     0   732 1537 10798 11  5 80  4  0 2021-12-09 13:13:39
 0  0      0 4754704 129400 1540128    0    0     0    92  711 5536  4  2 94  0  0 2021-12-09 13:13:40
17  0      0 4757476 129400 1540188    0    0     0   476 1144 8807  7  6 83  4  0 2021-12-09 13:13:41
 0  0      0 4757224 129400 1540320    0    0     0   352 1064 9114 12  4 83  1  0 2021-12-09 13:13:42
 0  0      0 4757224 129400 1540320    0    0     0     0  660 5805  4  3 93  0  0 2021-12-09 13:13:43
 0  0      0 4751932 129400 1540488    0    0     0   724 1396 11902 18  8 69  5  0 2021-12-09 13:13:44
 0  0      0 4754452 129400 1540488    0    0     0     0  786 6259  6  3 91  0  0 2021-12-09 13:13:45
 0  0      0 4754704 129400 1540668    0    0     0   824 1341 10454 11  6 79  4  0 2021-12-09 13:13:46
 0  0      0 4755208 129400 1540668    0    0     0     0  726 5914  6  1 93  0  0 2021-12-09 13:13:47
 0  0      0 4755208 129400 1540668    0    0     0     0  665 5468  4  3 94  0  0 2021-12-09 13:13:48
