procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0 5165400 105368 1301492    0    0    72   103  395  222  6  3 90  1  0 2021-12-09 10:08:21
 0  0      0 5165408 105368 1301496    0    0     0     0  731 4727  2  1 97  0  0 2021-12-09 10:08:22
 0  0      0 5165156 105368 1301496    0    0     0     4  564 4746  5  2 93  0  0 2021-12-09 10:08:23
 0  0      0 5164124 105368 1301496    0    0     0     0  510 4682  3  1 96  0  0 2021-12-09 10:08:24
 0  0      0 5163368 105368 1301500    0    0     0     0  751 5502  5  4 91  0  0 2021-12-09 10:08:25
 0  0      0 5163600 105368 1301500    0    0     0     0  727 5423  3  2 95  0  0 2021-12-09 10:08:26
 0  0      0 5163620 105368 1301504    0    0     0     0  719 5474  3  2 95  0  0 2021-12-09 10:08:27
 0  0      0 5144608 105368 1301504    0    0     0    12  788 5948  5  4 92  0  0 2021-12-09 10:08:28
 0  0      0 5144104 105376 1301508    0    0     0    56  911 6447  5  4 91  1  0 2021-12-09 10:08:29
 1  0      0 5143852 105376 1301508    0    0     0     0 1090 8621  5 10 85  0  0 2021-12-09 10:08:30
 2  0      0 5106296 105376 1301508    0    0     0     0  740 6196 29  6 66  0  0 2021-12-09 10:08:31
 7  0      0 5068684 105376 1301516    0    0     0     0  329 6485 73  5 22  0  0 2021-12-09 10:08:32
 0  0      0 5067668 105376 1301516    0    0     0     0  855 6162  8  3 89  0  0 2021-12-09 10:08:33
 0  0      0 5067172 105376 1301516    0    0     0     0  916 6649  5  3 92  0  0 2021-12-09 10:08:34
 0  0      0 5067172 105444 1301604    0    0     0   740 1761 13326 17  7 71  5  0 2021-12-09 10:08:35
 0  0      0 5067424 105444 1301612    0    0     0     0  752 5841  3  2 95  0  0 2021-12-09 10:08:36
 0  0      0 5066896 105528 1301528    0    0     0   736 1394 10812 17  6 72  5  0 2021-12-09 10:08:37
 0  0      0 5066920 105528 1301704    0    0     0     0  868 6250  5  2 93  0  0 2021-12-09 10:08:38
 0  0      0 5066920 105528 1301704    0    0     0     0  868 6415  5  3 92  0  0 2021-12-09 10:08:39
 0  0      0 5066920 105596 1301776    0    0     0   688 1400 11589 15  8 71  7  0 2021-12-09 10:08:40
 0  0      0 5066920 105596 1301780    0    0     0     4 1034 7763  7  4 89  0  0 2021-12-09 10:08:41
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5067172 105596 1301780    0    0     0     0  785 6233  5  4 91  0  0 2021-12-09 10:08:42
 0  0      0 5067132 105700 1301828    0    0     0   732 1095 12180 29 11 55  5  0 2021-12-09 10:08:43
 0  0      0 5066884 105700 1301876    0    0     0     0  788 5627  5  3 93  0  0 2021-12-09 10:08:44
 1  1      0 5066644 105720 1301884    0    0     0   152  712 6566  8  4 88  1  0 2021-12-09 10:08:45
 6  0      0 5065872 105780 1301988    0    0     0   600 1223 8981 10  4 83  3  0 2021-12-09 10:08:46
 0  0      0 5065628 105780 1301988    0    0     0     4  731 5353  5  1 95  0  0 2021-12-09 10:08:47
 0  0      0 5065376 105852 1301980    0    0     0   724 1441 10556 10  6 80  5  0 2021-12-09 10:08:48
 0  0      0 5065124 105852 1302068    0    0     0     0 1037 7397  9  5 86  0  0 2021-12-09 10:08:49
 0  0      0 5064368 105852 1302068    0    0     0     0  964 6316  3  3 94  0  0 2021-12-09 10:08:50
 0  0      0 5064116 105940 1302160    0    0     0   720 1757 12938 12  4 78  7  0 2021-12-09 10:08:51
 0  0      0 5064116 105940 1302160    0    0     0     0  684 5045  3  2 95  0  0 2021-12-09 10:08:52
 9  0      0 5064116 105996 1302176    0    0     0   456  877 7713 10  4 82  3  0 2021-12-09 10:08:53
 0  0      0 5061848 106024 1302248    0    0     0   268 1015 8068 13  4 82  2  0 2021-12-09 10:08:54
 0  0      0 5061848 106024 1302256    0    0     0     0  808 6328  6  4 91  0  0 2021-12-09 10:08:55
 0  0      0 5061848 106076 1302352    0    0     0   736 1649 12431 12  5 78  5  0 2021-12-09 10:08:56
 2  0      0 5062352 106076 1302356    0    0     0     0 1120 7532  8  5 87  0  0 2021-12-09 10:08:57
 0  0      0 5062836 106076 1302356    0    0     0    20 1080 7090  2  3 95  0  0 2021-12-09 10:08:58
 0  0      0 5062336 106168 1302444    0    0     0   772 1413 10160 14  3 79  4  0 2021-12-09 10:08:59
 0  0      0 5062352 106168 1302444    0    0     0     0  787 5196  3  2 95  0  0 2021-12-09 10:09:00
 3  0      0 5061848 106192 1302476    0    0     0   316  843 7797  7  3 84  6  0 2021-12-09 10:09:01
 0  0      0 5061596 106224 1302528    0    0     0   356 1119 8389  8  4 86  2  0 2021-12-09 10:09:02
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5060840 106224 1302528    0    0     0     0  895 6843  6  3 92  0  0 2021-12-09 10:09:03
 0  0      0 5061284 106256 1302496    0    0     0   980 1527 11120 13  4 78  6  0 2021-12-09 10:09:04
 0  0      0 5061344 106256 1302672    0    0     0     8  905 6786  8  3 89  0  0 2021-12-09 10:09:05
 0  0      0 5061828 106256 1302672    0    0     0     0 1068 6997  3  4 93  0  0 2021-12-09 10:09:06
 0  0      0 5061848 106328 1302760    0    0     0   824 1405 10298 12  6 77  6  0 2021-12-09 10:09:07
 0  0      0 5061612 106328 1302760    0    0     0     0  791 5649  3  3 94  0  0 2021-12-09 10:09:08
 2  0      0 5061344 106388 1302856    0    0     0   848 1207 10739 13  6 77  5  0 2021-12-09 10:09:09
 0  0      0 5060832 106388 1302856    0    0     0     0  657 5344  5  3 92  0  0 2021-12-09 10:09:10
 0  0      0 5060588 106388 1302856    0    0     0     4  719 5455  6  3 91  0  0 2021-12-09 10:09:11
 0  0      0 5060336 106444 1302856    0    0     0   736 1301 9420  9  4 82  6  0 2021-12-09 10:09:12
 0  0      0 5060108 106444 1302948    0    0     0    12 1168 8080  8  4 88  0  0 2021-12-09 10:09:13
 0  0      0 5060548 106444 1302948    0    0     0     0  715 6059  7  3 89  1  0 2021-12-09 10:09:14
 0  0      0 5060336 106524 1303052    0    0     0   832 1411 11276 15  5 67 13  0 2021-12-09 10:09:15
 0  0      0 5054272 106524 1303052    0    0     0     0  684 5074  4  3 93  0  0 2021-12-09 10:09:16
 0  0      0 5053728 106576 1303136    0    0     0   760 1361 9928 10  4 81  5  0 2021-12-09 10:09:17
 0  0      0 5052980 106576 1303140    0    0     0     0  868 6037  4  2 94  0  0 2021-12-09 10:09:18
 0  0      0 5052216 106576 1303140    0    0     0     0  770 6128  4  2 94  0  0 2021-12-09 10:09:19
 4  0      0 5052216 106648 1303068    0    0     0   712 1404 11284 12  5 79  5  0 2021-12-09 10:09:20
 8  0      0 5052468 106648 1303232    0    0     0     0 1074 7532  5  5 90  0  0 2021-12-09 10:09:21
 1  1      0 5052468 106652 1303228    0    0     0    48  701 5796  4  3 93  0  0 2021-12-09 10:09:22
 1  0      0 5052468 106712 1303336    0    0     0   700 1359 10149 15  4 75  6  0 2021-12-09 10:09:23
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5052240 106712 1303336    0    0     0    24  880 6184  8  2 90  0  0 2021-12-09 10:09:24
 9  0      0 5052216 106764 1303412    0    0     0   744 1340 11070 18  6 67  8  0 2021-12-09 10:09:25
 0  0      0 5051964 106764 1303416    0    0     0     0  922 6921  7  2 91  0  0 2021-12-09 10:09:26
 0  0      0 5051964 106764 1303416    0    0     0     0  794 5667  4  3 93  0  0 2021-12-09 10:09:27
 0  0      0 5057012 106840 1303536    0    0    20   728 1524 10976  8  4 83  5  0 2021-12-09 10:09:28
 1  0      0 5056800 106840 1303540    0    0     0    24  984 6854  7  3 90  0  0 2021-12-09 10:09:29
 0  0      0 5057052 106840 1303540    0    0     0     0  946 6288  4  2 94  0  0 2021-12-09 10:09:30
 1  0      0 5056800 106928 1303628    0    0     0   696 1105 10638 12  6 77  5  0 2021-12-09 10:09:31
 0  0      0 5056800 106928 1303628    0    0     0     0 1222 8921  5  9 86  0  0 2021-12-09 10:09:32
 0  0      0 5056800 107016 1303544    0    0     0   696 1192 10230 12  5 80  4  0 2021-12-09 10:09:33
 0  0      0 5056800 107016 1303736    0    0     0   328  950 6789 10  4 85  2  0 2021-12-09 10:09:34
 0  0      0 5056800 107016 1303736    0    0     0     4  958 7155  8  4 88  0  0 2021-12-09 10:09:35
 8  0      0 5057052 107088 1303752    0    0     0   728 1623 11819 12  6 77  6  0 2021-12-09 10:09:36
 0  0      0 5057052 107088 1303812    0    0     0     0  732 5612  4  3 93  0  0 2021-12-09 10:09:37
 0  1      0 5057052 107092 1303812    0    0     0    44  700 5188  2  3 96  0  0 2021-12-09 10:09:38
 0  0      0 5057052 107160 1303896    0    0     0   736 1591 10649 14  5 76  6  0 2021-12-09 10:09:39
 0  0      0 5050956 107160 1303896    0    0     0     0  950 7349  7  4 89  0  0 2021-12-09 10:09:40
 0  0      0 5051440 107228 1303988    0    0     0   788 1306 11535 16  6 70  8  0 2021-12-09 10:09:41
 0  0      0 5051208 107228 1303996    0    0     0     0 1107 7194  5  4 92  0  0 2021-12-09 10:09:42
 0  0      0 5051224 107228 1304000    0    0     0     0  613 5396  4  2 93  0  0 2021-12-09 10:09:43
 0  0      0 5051964 107276 1304080    0    0     0   732 1348 10593 13  7 77  4  0 2021-12-09 10:09:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5051940 107276 1304080    0    0     0     0  915 6331  7  3 90  0  0 2021-12-09 10:09:45
 0  1      0 5051460 107284 1304112    0    0     0   296  729 6001  3  3 93  2  0 2021-12-09 10:09:46
 0  0      0 5051468 107328 1304188    0    0     0   532 1633 10229 13  5 78  4  0 2021-12-09 10:09:47
 0  0      0 5056296 107328 1304188    0    0     0    12  918 6984  4  4 93  0  0 2021-12-09 10:09:48
 0  0      0 5057504 107416 1304208    0    0     0   788 1385 14195 12  6 77  6  0 2021-12-09 10:09:49
 0  0      0 5057548 107416 1304272    0    0     0     0  870 5888  4  2 94  0  0 2021-12-09 10:09:50
