Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

12:41:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:41:16        all      1.52      0.00      1.52      0.51      0.00     96.45
12:41:17        all      5.97      0.00      3.48      0.00      0.00     90.55
12:41:18        all      3.55      0.00      1.52      0.00      0.00     94.92
12:41:19        all      5.03      0.00      2.51      0.00      0.00     92.46
12:41:20        all      5.50      0.00      1.50      0.00      0.00     93.00
12:41:21        all      5.08      0.00      1.52      0.51      0.00     92.89
12:41:22        all      5.53      0.00      3.52      0.00      0.00     90.95
12:41:23        all      2.49      0.00      1.99      0.00      0.00     95.52
12:41:24        all      5.15      0.00      1.55      0.00      0.00     93.30
12:41:25        all     69.35      0.00      5.03      1.51      0.00     24.12
12:41:26        all     37.37      0.00      4.55      0.00      0.00     58.08
12:41:27        all      4.46      0.00      2.97      0.00      0.00     92.57
12:41:28        all     13.27      0.00      4.59      7.14      0.00     75.00
12:41:29        all      8.04      0.00      1.51      0.00      0.00     90.45
12:41:30        all      6.93      0.00      5.94      0.00      0.00     87.13
12:41:31        all     14.21      0.00      9.14      5.08      0.00     71.57
12:41:32        all      4.08      0.00      1.53      0.00      0.00     94.39
12:41:33        all     14.07      0.00      4.52      4.52      0.00     76.88
12:41:34        all      4.08      0.00      2.55      0.00      0.00     93.37
12:41:35        all      3.54      0.00      3.03      2.02      0.00     91.41
12:41:36        all     11.44      0.00      5.47      2.49      0.00     80.60
12:41:37        all      4.55      0.00      3.03      0.00      0.00     92.42
12:41:38        all     13.92      0.00      4.64      6.19      0.00     75.26
12:41:39        all      4.64      0.00      2.06      0.00      0.00     93.30
12:41:40        all      8.96      0.00      5.97      4.98      0.00     80.10
12:41:41        all      7.58      0.00      2.02      0.00      0.00     90.40
12:41:42        all      4.59      0.00      2.04      0.00      0.00     93.37
12:41:43        all     12.24      0.00      3.06      4.59      0.00     80.10
12:41:44        all      2.03      0.00      2.03      0.00      0.00     95.94
12:41:45        all     12.00      0.00      4.50      4.50      0.00     79.00
12:41:46        all      6.12      0.00      2.04      0.00      0.00     91.84
12:41:47        all      3.54      0.00      1.52      0.00      0.00     94.95
12:41:48        all      9.90      0.00      4.17      5.21      0.00     80.73
12:41:49        all      4.06      0.00      3.05      0.00      0.00     92.89
12:41:50        all     14.14      0.00      4.04      4.55      0.00     77.27
12:41:51        all      4.98      0.00      3.98      0.00      0.00     91.04
12:41:52        all      4.04      0.00      3.03      2.53      0.00     90.40
12:41:53        all      8.54      0.00      5.03      2.01      0.00     84.42
12:41:54        all      4.50      0.00      3.50      0.00      0.00     92.00
12:41:55        all     11.34      0.00      3.09      4.64      0.00     80.93
12:41:56        all      5.03      0.00      3.02      0.00      0.00     91.96
12:41:57        all     10.71      0.00      2.55      5.61      0.00     81.12
