Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

09:49:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:49:17        all      3.98      0.00      1.49      0.00      0.00     94.53
09:49:18        all      4.00      0.00      4.00      0.00      0.00     92.00
09:49:19        all      4.00      0.00      2.00      0.00      0.00     94.00
09:49:20        all      4.02      0.00      3.02      0.00      0.00     92.96
09:49:21        all      5.94      0.00      3.47      0.00      0.00     90.59
09:49:22        all      3.98      0.00      4.48      0.00      0.00     91.54
09:49:23        all      6.60      0.00      1.02      0.00      0.00     92.39
09:49:24        all      2.55      0.00      2.04      0.00      0.00     95.41
09:49:25        all      4.00      0.00      3.50      0.00      0.00     92.50
09:49:26        all      4.04      0.00      3.03      0.00      0.00     92.93
09:49:27        all     44.90      0.00      5.10      0.00      0.00     50.00
09:49:28        all     62.38      0.00      6.93      0.00      0.00     30.69
09:49:29        all      2.02      0.00      2.02      0.00      0.00     95.96
09:49:30        all      4.06      0.00      3.55      3.05      0.00     89.34
09:49:31        all     16.50      0.00     10.50      1.50      0.00     71.50
09:49:32        all      4.98      0.00      2.49      0.00      0.00     92.54
09:49:33        all      5.03      0.00      2.01      0.00      0.00     92.96
09:49:34        all      4.04      0.00      3.03      0.00      0.00     92.93
09:49:35        all      4.00      0.00      4.00      0.00      0.00     92.00
09:49:36        all      5.05      0.00      2.53      0.00      0.00     92.42
09:49:37        all      6.06      0.00      3.54      0.00      0.00     90.40
09:49:38        all      6.86      0.00      3.43      0.00      0.00     89.71
09:49:39        all     13.07      0.00      6.53      4.02      0.00     76.38
09:49:40        all      3.52      0.00      4.02      0.00      0.00     92.46
09:49:41        all      8.42      0.00      1.98      0.00      0.00     89.60
09:49:42        all      4.95      0.00      2.97      0.00      0.00     92.08
09:49:43        all      6.40      0.00      2.46      0.00      0.00     91.13
09:49:44        all      3.00      0.00      2.50      0.00      0.00     94.50
09:49:45        all      5.91      0.00      5.42      0.00      0.00     88.67
09:49:46        all      3.52      0.00      3.02      0.00      0.00     93.47
09:49:47        all     11.50      0.00      5.00      4.00      0.00     79.50
09:49:48        all      2.03      0.00      2.54      0.00      0.00     95.43
09:49:49        all      4.00      0.00      2.50      0.00      0.00     93.50
09:49:50        all      4.55      0.00      2.53      0.00      0.00     92.93
09:49:51        all      8.59      0.00      3.03      0.00      0.00     88.38
09:49:52        all      3.55      0.00      2.03      0.00      0.00     94.42
09:49:53        all      7.54      0.00      3.52      0.00      0.00     88.94
09:49:54        all      3.98      0.00      4.48      0.00      0.00     91.54
09:49:55        all     10.55      0.00      6.03      3.52      0.00     79.90
09:49:56        all      4.50      0.00      3.00      0.00      0.00     92.50
09:49:57        all      2.04      0.00      1.02      0.00      0.00     96.94
09:49:58        all      5.00      0.00      3.50      0.00      0.00     91.50
