procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 4922780 125368 1507604    0    0    37    68  317   65  5  2 92  1  0 2021-12-09 12:41:18
 0  0      0 4922512 125368 1507612    0    0     0    12  479 4406  4  2 94  0  0 2021-12-09 12:41:19
 0  0      0 4921748 125368 1507612    0    0     0     4  557 4670  6  2 92  0  0 2021-12-09 12:41:20
 0  0      0 4903752 125372 1507612    0    0     0    56  755 5813  5  3 92  1  0 2021-12-09 12:41:21
 0  0      0 4903500 125372 1507612    0    0     0     0  881 5369  4  3 94  0  0 2021-12-09 12:41:22
 0  0      0 4902996 125372 1507616    0    0     0     0  853 5303  2  1 97  0  0 2021-12-09 12:41:23
 1  0      0 4849784 125372 1507616    0    0     0   188  421 5736 62  6 30  2  0 2021-12-09 12:41:24
 0  0      0 4828048 125372 1507616    0    0     0     0  661 7303 48  5 47  0  0 2021-12-09 12:41:25
 0  0      0 4827544 125372 1507620    0    0     0     4  761 6532  4  3 93  0  0 2021-12-09 12:41:26
 1  0      0 4827544 125372 1507620    0    0     0   820 1648 11338 14  5 74  7  0 2021-12-09 12:41:28
 0  0      0 4826788 125372 1507768    0    0     0     0  884 5993  8  2 91  0  0 2021-12-09 12:41:29
 0  0      0 4826032 125372 1507768    0    0     0     0  910 7330  6  4 90  0  0 2021-12-09 12:41:30
 0  0      0 4822220 125384 1507872    0    0     0   732 1663 13744 15 11 70  5  0 2021-12-09 12:41:31
 0  0      0 4822204 125384 1507920    0    0     0     0  862 5882  4  2 94  0  0 2021-12-09 12:41:32
 0  0      0 4821968 125392 1508036    0    0     0   836 1436 10978 12  4 80  5  0 2021-12-09 12:41:33
 0  0      0 4820708 125392 1508076    0    0     0     0  938 6628  7  4 90  0  0 2021-12-09 12:41:34
 1  0      0 4820440 125392 1508076    0    0     0     0 1093 7105  4  3 94  0  0 2021-12-09 12:41:35
 0  0      0 4820204 125392 1508232    0    0     0   772 1502 10438 12  5 79  5  0 2021-12-09 12:41:36
 1  0      0 4819448 125392 1508232    0    0     0     0  900 6755  4  3 93  0  0 2021-12-09 12:41:37
 0  0      0 4818924 125396 1508360    0    0     0   812 1542 11872 14  5 74  7  0 2021-12-09 12:41:38
 0  0      0 4818692 125396 1508384    0    0     0     4  945 6457  5  2 93  0  0 2021-12-09 12:41:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  1      0 4818692 125400 1508384    0    0     0   168  988 7446  5  3 90  2  0 2021-12-09 12:41:40
 0  0      0 4818432 125404 1508544    0    0     0   592 1369 9979 12  5 80  3  0 2021-12-09 12:41:41
 0  0      0 4818188 125404 1508544    0    0     0     0  789 6356  5  2 93  0  0 2021-12-09 12:41:42
 0  0      0 4817432 125416 1508676    0    0     0   760 1479 10154 13  4 80  4  0 2021-12-09 12:41:43
